,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2710972230258933760,整租·金隅悦和园 2室1厅 南/北,朝阳,东坝,金隅悦和园,78㎡,南 北,2室1厅1卫,低楼层（28层）,5200
1,BJ2614527328914776064,整租·小悦城中心 1室1厅 LOFT 北,朝阳,朝青,小悦城中心,54㎡,北,1室1厅2卫,中楼层（12层）,5800
2,BJ2710836454967484416,整租·北苑家园绣菊园 2室1厅 南/西,朝阳,北苑,北苑家园绣菊园,85㎡,南 西,2室1厅1卫,中楼层（25层）,6000
3,BJ2738990894152949760,整租·小悦城中心 1室1厅 跃层 西,朝阳,朝青,小悦城中心,76㎡,西,1室1厅1卫,中楼层（2层）,6800
4,BJ2711595590571540480,整租·甜水园东里 2室1厅 南,朝阳,甜水园,甜水园东里,58㎡,南,2室1厅1卫,高楼层（6层）,5600
5,BJ2657228388170727424,整租·小悦城中心 1室1厅 LOFT 东,朝阳,朝青,小悦城中心,76㎡,东,1室1厅2卫,高楼层（12层）,6500
6,BJ2711545368294211584,整租·北京像素北区 3房间 南/北,朝阳,常营,北京像素北区,57㎡,南 北,3房间2卫,高楼层（14层）,6800
7,BJ2712888571290714112,整租·双柳巷 2室1厅 南/北,朝阳,双桥,双柳巷,80㎡,南 北,2室1厅1卫,中楼层（6层）,5000
8,BJ2715788890211893248,整租·中环南路11号院 2室1厅 东南/西北,朝阳,望京,中环南路11号院,66㎡,东南 西北,2室1厅1卫,高楼层（6层）,6500
9,BJ2715905373138853888,整租·育慧西里 1室1厅 南,朝阳,亚运村小营,育慧西里,50㎡,南,1室1厅1卫,高楼层（6层）,5500
10,BJ2714597341335666688,整租·世奥国际中心 1房间 北,朝阳,芍药居,世奥国际中心,65㎡,北,1房间1卫,低楼层（25层）,6800
11,BJ2734559685083398144,整租·安慧东里 2室1厅 南,朝阳,亚运村小营,安慧东里,58㎡,南,2室1厅1卫,高楼层（6层）,6500
12,BJ2716517534063919104,整租·广渠门外大街路北区 2室1厅 南/北,朝阳,双井,广渠门外大街路北区,55㎡,南 北,2室1厅1卫,高楼层（6层）,5600
13,366145,独栋·安家鼎园地产 金枫望京店 经典套间 1室1厅,0,0,0,68㎡,2间在租,1室1厅1卫,0,6000-6800
14,BJ2716631821365821440,整租·n次方 2房间 南,朝阳,北苑,n次方,64㎡,南,2房间1卫,中楼层（13层）,5800
15,BJ2715282547406798848,整租·东大桥路 1室1厅 东,朝阳,朝阳门外,东大桥路,35㎡,东,1室1厅1卫,中楼层（5层）,6500
16,BJ2716476395751473152,整租·团结湖北口 2室1厅 南,朝阳,团结湖,团结湖北口,56㎡,南,2室1厅1卫,高楼层（16层）,6200
17,BJ2721019969587380224,整租·中国铁建广场 1房间 东/北,朝阳,北苑,中国铁建广场,70㎡,东 北,1房间1卫,中楼层（29层）,6800
18,BJ2723007651402489856,整租·林达海渔广场 1房间 东南,朝阳,十里河,林达海渔广场,54㎡,东南,1房间1卫,中楼层（15层）,5500
19,BJ2718695175823032320,整租·飘HOME 1室1厅 南,朝阳,酒仙桥,飘HOME,57㎡,南,1室1厅1卫,低楼层（25层）,6500
20,BJ2718010765881131008,整租·慈云寺 2室1厅 南/西/北,朝阳,红庙,慈云寺,62㎡,南 西 北,2室1厅1卫,高楼层（22层）,6100
21,366148,独栋·安家鼎园地产 金枫望京店 浪漫一居 开间,0,0,0,40㎡,2间在租,1室0厅1卫,0,6000-6200
22,BJ2723766946532433920,整租·一瓶四和院 1房间 东,朝阳,亚运村小营,一瓶四和院,42㎡,东,1房间1卫,低楼层（11层）,6300
23,353814,独栋·冠寓 北京望京北路店 精选温馨复式 1室1厅,0,0,0,22㎡,1间在租,1室1厅1卫,0,5163
24,BJ2724416449614716928,整租·明天第一城7号院 3房间 南,朝阳,立水桥,明天第一城7号院,74㎡,南,3房间1卫,高楼层（21层）,6300
25,366144,独栋·安家鼎园地产 金枫望京店 品质一居 开间,0,0,0,40㎡,2间在租,1室0厅1卫,0,6000-6200
26,BJ2723786672654794752,整租·北京像素南区 3房间 北,朝阳,常营,北京像素南区,52㎡,北,3房间2卫,高楼层（16层）,6600
27,272460,独栋·城家公寓 城家公寓北京安华桥地铁站店 大一居外景大床房 开间,0,0,0,27㎡,1间在租,1室0厅1卫,0,6000
28,BJ2724479923837476864,整租·和平西街 2室1厅 东南,朝阳,和平里,和平西街,60㎡,东南,2室1厅1卫,中楼层（16层）,6500
29,303827,独栋·城家公寓 城家公寓北京安华桥地铁站店 精装近安华桥站直租 开间,0,0,0,18㎡,1间在租,1室0厅1卫,0,5900
