,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2725318807966466048,整租·宏大南园 3室2厅 南/北,大兴,西红门,宏大南园,143㎡,南 北,3室2厅2卫,低楼层（16层）,6000
1,BJ2739182189412352000,整租·恒大未来城 4室1厅 LOFT 南,大兴,义和庄,恒大未来城,180㎡,南,4室1厅3卫,高楼层（18层）,7500
2,BJ2726904125047709696,整租·鸿坤理想城礼域府 4室2厅 南/北,大兴,西红门,鸿坤理想城礼域府,178㎡,南 北,4室2厅2卫,中楼层（18层）,10000
3,BJ2739826619274502144,整租·恒大未来城 3室1厅 LOFT 南,大兴,义和庄,恒大未来城,150㎡,南,3室1厅2卫,高楼层（19层）,6500
4,BJ2726904754503417856,整租·首邑溪谷 3室1厅 南,大兴,枣园,首邑溪谷,65㎡,南,3室1厅2卫,低楼层（16层）,6000
5,BJ2739679317020639232,整租·恒大未来城 4室1厅 LOFT 南,大兴,义和庄,恒大未来城,180㎡,南,4室1厅3卫,高楼层（19层）,7500
6,BJ2726118023852195840,整租·那尔水晶城 2室2厅 南/北,大兴,枣园,那尔水晶城,117㎡,南 北,2室2厅2卫,低楼层（15层）,5600
7,BJ2726203234837872640,整租·清澄名苑北区 2室1厅 西,大兴,黄村中,清澄名苑北区,128㎡,西,2室1厅1卫,中楼层（19层）,7500
8,BJ2726205789554614272,整租·金茂逸墅 3室1厅 南/北,大兴,亦庄开发区其它,金茂逸墅,137㎡,南 北,3室1厅2卫,中楼层（18层）,11000
9,BJ2725183289031147520,整租·金地仰山西区 3室1厅 东/南/北,大兴,高米店,金地仰山西区,123㎡,东 南 北,3室1厅2卫,高楼层（18层）,7200
10,BJ2726611723850088448,整租·鸿坤理想城派郡20号院 2室1厅 南,大兴,西红门,鸿坤理想城派郡20号院,87㎡,南,2室1厅1卫,中楼层（18层）,5200
11,BJ2736934104921808896,整租·万科天地 3室1厅 LOFT 西北,大兴,义和庄,万科天地,150㎡,西北,3室1厅2卫,高楼层（13层）,6000
12,BJ2726879418189348864,整租·和悦华锦 3室2厅 南/北,大兴,亦庄开发区其它,和悦华锦,89㎡,南 北,3室2厅1卫,高楼层（8层）,5500
13,BJ2722527804922273792,整租·万科天地 3室2厅 复式 西南,大兴,义和庄,万科天地,150㎡,西南,3室2厅2卫,中楼层（13层）,5399
14,BJ2725300432501997568,整租·瑞海家园二区 3室2厅 南/北,大兴,西红门,瑞海家园二区,124㎡,南 北,3室2厅2卫,中楼层（6层）,7000
15,BJ2726927208810545152,整租·中信新城西区 5室2厅 东/南/北,大兴,亦庄开发区其它,中信新城西区,230㎡,东 南 北,5室2厅2卫,高楼层（19层）,30000
16,BJ2727459861318615040,整租·翰林庭院 4室2厅 南/北,大兴,黄村火车站,翰林庭院,182㎡,南 北,4室2厅2卫,中楼层（15层）,8500
17,BJ2727467415385677824,整租·鸿坤理想城曦望山 2室1厅 南,大兴,西红门,鸿坤理想城曦望山,84㎡,南,2室1厅1卫,高楼层（23层）,5500
18,BJ2727553922696232960,整租·鸿坤理想城曦望山 3室1厅 南/北,大兴,西红门,鸿坤理想城曦望山,115㎡,南 北,3室1厅1卫,高楼层（21层）,7500
19,BJ2728093573072560128,整租·长丰园三区 3室2厅 南/北,大兴,科技园区,长丰园三区,137㎡,南 北,3室2厅2卫,低楼层（6层）,6000
