,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2650101543054868480,整租·华清嘉园 2室1厅 西,海淀,五道口,华清嘉园,105㎡,西,2室1厅1卫,中楼层（19层）,13500
1,BJ2684083165949067264,整租·丹青府 2室1厅 南,海淀,田村,丹青府,104㎡,南,2室1厅1卫,中楼层（3层）,7290
2,BJ2665948785993326592,整租·交大嘉园 3室1厅 东南,海淀,西直门,交大嘉园,136㎡,东南,3室1厅2卫,低楼层（19层）,14500
3,BJ2736832841580019712,整租·东王庄 3室1厅 南/北,海淀,五道口,东王庄,89㎡,南 北,3室1厅1卫,高楼层（6层）,9000
4,BJ2667332460433645568,整租·水利新宿舍 2室1厅 东南,海淀,公主坟,水利新宿舍,79㎡,东南,2室1厅1卫,中楼层（28层）,8500
5,242436,独栋·城家公寓 北京上地CitiGO欢阁公寓酒店 LOFT一室一厅 1室1厅,0,0,0,24㎡,8间在租,1室1厅1卫,0,7550-7650
6,BJ2646934499585433600,整租·嘉豪国际中心 3房间 南,海淀,四季青,嘉豪国际中心,138㎡,南,3房间2卫,高楼层（16层）,22100
7,BJ2650609249101037568,整租·自在香山 4室2厅 南/北,海淀,西山,自在香山,240㎡,南 北,4室2厅2卫,中楼层（4层）,29500
8,BJ2640546675634487296,整租·国海广场 1室1厅 东,海淀,公主坟,国海广场,95㎡,东,1室1厅1卫,高楼层（26层）,9500
9,BJ2653587834455195648,整租·长银大厦 1室0厅 东,海淀,五棵松,长银大厦,55㎡,东,1室0厅0卫,高楼层（14层）,10000
10,BJ2653392143003164672,整租·今日家园 4室2厅 南,海淀,五棵松,今日家园,212㎡,南,4室2厅2卫,高楼层（24层）,18000
11,242437,独栋·城家公寓 北京上地CitiGO欢阁公寓酒店 园景LOFT 1室1厅,0,0,0,28㎡,3间在租,1室1厅1卫,0,9050
12,BJ2646375398937460736,整租·立方庭 2房间 南,海淀,苏州桥,立方庭,34㎡,南,2房间1卫,低楼层（10层）,9500
13,BJ2730397374118895616,整租·远中悦莱 1室1厅 西,海淀,苏州桥,远中悦莱,76㎡,西,1室1厅1卫,中楼层（17层）,12500
14,BJ2647852247551049728,整租·远大园五区 3室2厅 西南,海淀,世纪城,远大园五区,130㎡,西南,3室2厅2卫,低楼层（16层）,14500
15,BJ2657792476491808768,整租·领秀新硅谷1号院 4室3厅 南/北,海淀,西二旗,领秀新硅谷1号院,310㎡,南 北,4室3厅4卫,低楼层（3层）,31000
16,BJ2649996546942443520,整租·Wehouse 4室2厅 南/北,海淀,四季青,Wehouse,240㎡,南 北,4室2厅3卫,低楼层（4层）,46000
17,BJ2649935842201837568,整租·世纪经贸大厦 1房间 西南/东北,海淀,甘家口,世纪经贸大厦,256㎡,西南 东北,1房间0卫,高楼层（25层）,44000
18,BJ2657733232711712768,整租·自在香山 3室1厅 南/北,海淀,西山,自在香山,238㎡,南 北,3室1厅1卫,中楼层（4层）,24100
19,BJ2658543614866489344,整租·豪柏大厦 2室1厅 西,海淀,紫竹桥,豪柏大厦,82㎡,西,2室1厅1卫,高楼层（18层）,10000
20,BJ2659934872004730880,整租·上地西里 6室2厅 复式 南/北,海淀,上地,上地西里,190㎡,南 北,6室2厅2卫,高楼层（7层）,18500
