,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2726122206907613184,整租·西环里 2室1厅 南/北,昌平,西关环岛,西环里,60㎡,南 北,2室1厅1卫,高楼层（6层）,2800
1,BJ2726069415266222080,整租·华润理想国 3室1厅 南/北,昌平,北七家,华润理想国,91㎡,南 北,3室1厅1卫,中楼层（18层）,5000
2,BJ2726056512186490880,整租·紫金新干线 2室2厅 南/北,昌平,霍营,紫金新干线,103㎡,南 北,2室2厅1卫,中楼层（10层）,6800
3,BJ2724510101007507456,整租·金隅万科城悦嘉公寓 4房间 南,昌平,鼓楼大街,金隅万科城悦嘉公寓,75㎡,南,4房间1卫,地下室（22层）,3800
4,BJ2724739991941939200,整租·东亚上北中心 4房间 北,昌平,回龙观,东亚上北中心,65㎡,北,4房间1卫,中楼层（21层）,5400
5,BJ2726106287493619712,整租·中东路121号院二区 2室1厅 南/北,昌平,西三旗,中东路121号院二区,93㎡,南 北,2室1厅2卫,高楼层（22层）,5500
6,BJ2726682821237686272,整租·融泽嘉园 2室1厅 南/北,昌平,回龙观,融泽嘉园,97㎡,南 北,2室1厅1卫,中楼层（25层）,7500
7,BJ2726743400727715840,整租·风雅园二区 3室2厅 南/北,昌平,回龙观,风雅园二区,120㎡,南 北,3室2厅2卫,中楼层（7层）,7200
8,BJ2726628322531614720,整租·亢山佳园小区 2室2厅 南/北,昌平,东关,亢山佳园小区,140㎡,南 北,2室2厅2卫,高楼层（6层）,5000
9,BJ2726755474945867776,整租·天通苑本五区 4室2厅 南/北,昌平,天通苑,天通苑本五区,175㎡,南 北,4室2厅2卫,低楼层（6层）,9700
10,BJ2726774079058354176,整租·华润理想国 3室1厅 南/北,昌平,北七家,华润理想国,91㎡,南 北,3室1厅1卫,中楼层（18层）,5500
11,BJ2725439195790180352,整租·龙腾苑六区 3室1厅 南/北,昌平,回龙观,龙腾苑六区,117㎡,南 北,3室1厅1卫,中楼层（6层）,7800
12,BJ2725333693433921536,整租·新龙城 2室1厅 南/北,昌平,回龙观,新龙城,98㎡,南 北,2室1厅1卫,高楼层（20层）,6900
13,BJ2725378009032310784,整租·金隅嘉和园 3室1厅 南/北,昌平,东关,金隅嘉和园,90㎡,南 北,3室1厅1卫,中楼层（19层）,5000
14,BJ2726729101028638720,整租·龙锦苑东四区 2室1厅 南/北,昌平,霍营,龙锦苑东四区,102㎡,南 北,2室1厅1卫,高楼层（6层）,6100
15,BJ2726767859182075904,整租·北回归线 7房间 北,昌平,回龙观,北回归线,52㎡,北,7房间3卫,高楼层（7层）,7500
16,BJ2726897786045079552,整租·北街家园五区 2室1厅 南,昌平,沙河,北街家园五区,74㎡,南,2室1厅1卫,低楼层（18层）,4300
17,BJ2725877712857612288,整租·龙山跃 3房间 南/北,昌平,南邵,龙山跃,58㎡,南 北,3房间1卫,低楼层（24层）,4500
18,BJ2725902909668859904,整租·北京城建畅悦居 3室1厅 东南,昌平,沙河,北京城建畅悦居,104㎡,东南,3室1厅1卫,低楼层（21层）,5880
19,BJ2725508286077214720,整租·上北鑫座 1房间 南,昌平,回龙观,上北鑫座,40㎡,南,1房间1卫,中楼层（7层）,4300
20,BJ2725469473758265344,整租·融泽嘉园 1室1厅 南,昌平,回龙观,融泽嘉园,63㎡,南,1室1厅1卫,高楼层（34层）,6300
21,BJ2725933432332099584,整租·金明园 3室1厅 南/北,昌平,昌平其它,金明园,120㎡,南 北,3室1厅2卫,高楼层（2层）,4500
22,BJ2726135262676787200,整租·瑞光胡同 2室1厅 南/北,昌平,鼓楼大街,瑞光胡同,59㎡,南 北,2室1厅1卫,中楼层（6层）,3200
23,BJ2727316813951279104,整租·未来城市 3室2厅 南/北,昌平,小汤山,未来城市,95㎡,南 北,3室2厅1卫,高楼层（9层）,6500
24,BJ2726884312531345408,整租·紫金新干线二期 2室1厅 南/北,昌平,霍营,紫金新干线二期,92㎡,南 北,2室1厅1卫,中楼层（8层）,6200
