,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2729487563789443072,整租·海晟名苑北区 1室1厅 东,东城,工体,海晟名苑北区,68㎡,东,1室1厅1卫,中楼层（17层）,11000
1,BJ2671108569188794368,整租·富莱茵花园 2室1厅 东,东城,永定门,富莱茵花园,58㎡,东,2室1厅1卫,中楼层（28层）,5660
2,BJ2727587938761449472,整租·东直门外大街(东城） 2室1厅 南,东城,东直门,东直门外大街(东城）,66㎡,南,2室1厅1卫,高楼层（14层）,6900
3,281542,独栋·共享际公寓 南阳胡同店 胡同观景房 1室1厅,0,0,0,50㎡,1间在租,1室1厅1卫,0,8000
4,BJ2729154446075633664,整租·万国城MOMA 1室0厅 南,东城,东直门,万国城MOMA,59㎡,南,1室0厅1卫,低楼层（27层）,9000
5,352557,独栋·城家公寓 城家精选公寓（北京前门店） 精品投影一居室 开间,0,0,0,51㎡,1间在租,1室0厅1卫,0,6100
6,BJ2728391167254740992,整租·十字坡西里 3室1厅 南/北,东城,东直门,十字坡西里,60㎡,南 北,3室1厅1卫,高楼层（5层）,8500
7,BJ2728857324097126400,整租·太华公寓 1室0厅 西,东城,崇文门,太华公寓,65㎡,西,1室0厅1卫,高楼层（18层）,7200
8,BJ2727536181024923648,整租·MOHO国际写字楼 1房间 北,东城,东花市,MOHO国际写字楼,27㎡,北,1房间1卫,高楼层（9层）,4500
9,BJ2728905335539499008,整租·光明西里 2室1厅 南/北,东城,广渠门,光明西里,58㎡,南 北,2室1厅1卫,低楼层（6层）,7000
10,BJ2729490504474968064,整租·中海紫御公馆 2室1厅 东北,东城,陶然亭,中海紫御公馆,62㎡,东北,2室1厅1卫,中楼层（19层）,8000
11,BJ2656474690406850560,合租·广渠家园 3居室 北卧,东城,广渠门,广渠家园,12㎡,北,3居室,低楼层（29层）,2790
12,BJ2727635496901033984,整租·向新西里 2室1厅 西北,东城,左安门,向新西里,55㎡,西北,2室1厅1卫,高楼层（6层）,5200
13,BJ2656474691422142464,合租·广渠家园 3居室 北卧,东城,广渠门,广渠家园,7㎡,北,3居室,低楼层（29层）,2560
14,BJ2729523248667828224,整租·新世界中心 1室0厅 东,东城,崇文门,新世界中心,59㎡,东,1室0厅1卫,高楼层（16层）,8000
15,BJ2728902806970048512,整租·柴棒胡同 1室0厅 南,东城,安定门,柴棒胡同,8㎡,南,1室0厅1卫,低楼层（1层）,2500
16,BJ2728905459674390528,整租·瑞士公寓 1室1厅 北,东城,朝阳门外,瑞士公寓,70㎡,北,1室1厅1卫,高楼层（16层）,15500
17,BJ2729052673302609920,整租·天华公馆 1房间 东,东城,崇文门,天华公馆,49㎡,东,1房间1卫,中楼层（6层）,5500
18,BJ2728342284336119808,整租·什锦花园胡同21号院 2室1厅 南/北,东城,东四,什锦花园胡同21号院,48㎡,南 北,2室1厅1卫,高楼层（5层）,7500
19,BJ2728357333524037632,整租·龙潭北里 2室1厅 南,东城,左安门,龙潭北里,64㎡,南,2室1厅1卫,高楼层（5层）,7500
20,BJ2728402426435469312,整租·东环居苑 1室1厅 南,东城,广渠门,东环居苑,63㎡,南,1室1厅1卫,中楼层（22层）,5800
21,BJ2656474689970642944,合租·广渠家园 3居室 北卧,东城,广渠门,广渠家园,7㎡,北,3居室,低楼层（29层）,2560
22,BJ2728190283094704128,整租·景泰西里 2室1厅 南/北,东城,永定门,景泰西里,61㎡,南 北,2室1厅1卫,高楼层（6层）,5000
23,242441,独栋·城家公寓 北京南锣鼓巷CitiGO欢阁公寓酒店 一居室标准大床房 开间,0,0,0,20㎡,5间在租,1室0厅1卫,0,6500-7050
24,BJ2728189222153895936,整租·华府景园 4室1厅 南/北,东城,安定门,华府景园,200㎡,南 北,4室1厅2卫,低楼层（12层）,22000
25,BJ2738208159523930112,合租·车站路6号院 3居室 西卧,东城,陶然亭,车站路6号院,16㎡,西,3居室,中楼层（5层）,2800
26,BJ2728315436033908736,整租·左安浦园 1室1厅 西,东城,左安门,左安浦园,68㎡,西,1室1厅1卫,高楼层（18层）,6000
27,BJ2743535011940024320,合租·车站路6号院 3居室 西南卧,东城,陶然亭,车站路6号院,12㎡,西南,3居室,中楼层（5层）,2400
28,BJ2729057228392251392,整租·北京上舍 3室1厅 东,东城,广渠门,北京上舍,104㎡,东,3室1厅1卫,高楼层（15层）,10500
29,BJ2743535012610572288,合租·车站路6号院 3居室 东南卧,东城,陶然亭,车站路6号院,16㎡,东南,3居室,中楼层（5层）,2600
30,BJ2725405592620908544,整租·抽屉胡同 3室1厅 东北,东城,建国门外,抽屉胡同,70㎡,东北,3室1厅1卫,高楼层（7层）,6900
31,BJ2606551062698016768,合租·胡家园小区 3居室 南卧,东城,东直门,胡家园小区,8㎡,南,3居室,低楼层（6层）,3290
32,BJ2725269223944224768,整租·化工大院 2室1厅 南/北,东城,和平里,化工大院,67㎡,南 北,2室1厅1卫,中楼层（5层）,7300
33,BJ2702879192260804608,合租·广渠家园 4居室 南卧,东城,广渠门,广渠家园,15㎡,南,4居室,高楼层（28层）,2800
34,BJ2725496838814695424,整租·察慈小区 1室1厅 东,东城,东直门,察慈小区,49㎡,东,1室1厅1卫,低楼层（12层）,6700
35,BJ2702868546874523648,合租·新景家园东区 3居室 南卧,东城,崇文门,新景家园东区,18㎡,南,3居室,低楼层（12层）,3400
36,BJ2725909839858368512,整租·郭庄北里 2室1厅 南,东城,永定门,郭庄北里,67㎡,南,2室1厅1卫,中楼层（5层）,5200
37,BJ2718925777792925696,整租·阳光都市 4室1厅 东南,东城,工体,阳光都市,241㎡,东南,4室1厅3卫,低楼层（25层）,27000
38,BJ2724436052130938880,整租·冠城名敦道A区 1室1厅 东,东城,广渠门,冠城名敦道A区,107㎡,东,1室1厅2卫,中楼层（23层）,10000
39,BJ2724406364108488704,整租·宝珠子胡同 2室1厅 南/北,东城,建国门内,宝珠子胡同,60㎡,南 北,2室1厅1卫,低楼层（7层）,7500
