,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2652924554460545024,整租·圆明园西路2号院 2室1厅 南/北,海淀,马连洼,圆明园西路2号院,60㎡,南 北,2室1厅1卫,高楼层（5层）,6300
1,BJ2673838467733536768,合租·新康园 3居室 南卧,海淀,西三旗,新康园,17㎡,南,3居室,低楼层（6层）,2860
2,BJ2661670229012660224,整租·香山煤厂街27号院 2室1厅 南/北,海淀,西山,香山煤厂街27号院,54㎡,南 北,2室1厅1卫,中楼层（4层）,3600
3,BJ2686188357976850432,合租·文晟家园 2居室 南卧,海淀,西三旗,文晟家园,12㎡,南,2居室,中楼层（21层）,3090
4,BJ2667239704306655232,整租·八里庄北里 2室1厅 南/北,海淀,定慧寺,八里庄北里,66㎡,南 北,2室1厅1卫,中楼层（6层）,6600
5,BJ2687616221876600832,合租·文晟家园 3居室 南卧,海淀,西三旗,文晟家园,11㎡,南,3居室,低楼层（21层）,3190
6,BJ2653454681392816128,整租·冠城大通百旺府 2室2厅 南/北,海淀,海淀北部新区,冠城大通百旺府,87㎡,南 北,2室2厅1卫,中楼层（9层）,6200
7,BJ2655124696420859904,整租·铁东小区 2室1厅 南/北,海淀,军博,铁东小区,55㎡,南 北,2室1厅1卫,中楼层（6层）,5800
8,BJ2656511982056259584,整租·定慧西里 2室1厅 南/北,海淀,定慧寺,定慧西里,65㎡,南 北,2室1厅1卫,高楼层（6层）,6300
9,BJ2657091077186011136,整租·马连洼1号院 2室1厅 南/北,海淀,上地,马连洼1号院,60㎡,南 北,2室1厅1卫,中楼层（6层）,6800
10,BJ2658740844538380288,整租·621小区 2室1厅 东/北,海淀,清河,621小区,50㎡,东 北,2室1厅1卫,中楼层（5层）,6200
11,BJ2687616218663763968,合租·文晟家园 3居室 北卧,海淀,西三旗,文晟家园,14㎡,北,3居室,低楼层（21层）,2990
12,BJ2658481249039163392,整租·厂洼小区 2室1厅 南/北,海淀,厂洼,厂洼小区,54㎡,南 北,2室1厅1卫,中楼层（6层）,6800
13,BJ2687616219544297472,合租·文晟家园 3居室 北卧,海淀,西三旗,文晟家园,11㎡,北,3居室,低楼层（21层）,2690
