,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2696933761719222272,整租·东关一区 2室1厅 南/北,怀柔,怀柔,东关一区,78㎡,南 北,2室1厅1卫,高楼层（6层）,2300
1,BJ2716658344566988800,整租·红螺馨园 1室1厅 南/北,怀柔,怀柔,红螺馨园,59㎡,南 北,1室1厅1卫,低楼层（11层）,2000
2,BJ2710682772590034944,整租·青春路31号院 3室1厅 南/北,怀柔,怀柔,青春路31号院,78㎡,南 北,3室1厅1卫,中楼层（5层）,2750
3,BJ2724730144589103104,整租·红螺馨园 3室2厅 南,怀柔,怀柔,红螺馨园,95㎡,南,3室2厅1卫,中楼层（12层）,2750
4,BJ2725424156056764416,整租·安乐馨居 2室1厅 南/北,怀柔,怀柔,安乐馨居,80㎡,南 北,2室1厅1卫,高楼层（4层）,2300
5,BJ2726631783520280576,整租·天韵家园 3室2厅 南/北,怀柔,怀柔,天韵家园,119㎡,南 北,3室2厅1卫,中楼层（6层）,4200
6,BJ2724452055296253952,整租·红螺馨园 2室1厅 南,怀柔,怀柔,红螺馨园,82㎡,南,2室1厅1卫,低楼层（12层）,2100
7,BJ2717213365817573376,整租·红螺馨园 3室1厅 南/北,怀柔,怀柔,红螺馨园,107㎡,南 北,3室1厅1卫,中楼层（12层）,3000
8,BJ2724664536371036160,整租·红螺馨园 3室2厅 南/北,怀柔,怀柔,红螺馨园,95㎡,南 北,3室2厅1卫,低楼层（12层）,2800
9,BJ2724540711826358272,整租·红螺馨园 3室1厅 南/北,怀柔,怀柔,红螺馨园,95㎡,南 北,3室1厅1卫,中楼层（12层）,2499
10,BJ2710255650599862272,整租·裕华园一区 2室1厅 南/北,怀柔,怀柔,裕华园一区,70㎡,南 北,2室1厅1卫,中楼层（15层）,2000
11,BJ2710080739642449920,整租·红螺馨园 2室1厅 南,怀柔,怀柔,红螺馨园,82㎡,南,2室1厅1卫,高楼层（12层）,2200
12,BJ2708030351455813632,整租·汇都家园 4室3厅 南/北,怀柔,怀柔,汇都家园,159㎡,南 北,4室3厅2卫,高楼层（6层）,4400
13,BJ2709450588541681664,整租·塞班假日 7室3厅 南/西/北,怀柔,怀柔,塞班假日,229㎡,南 西 北,7室3厅4卫,低楼层（4层）,11500
14,BJ2722431686481543168,整租·青春路九院 3室1厅 东,怀柔,怀柔,青春路九院,71㎡,东,3室1厅1卫,高楼层（6层）,2350
15,BJ2718891975436156928,整租·东亚华欣湾 1房间 北,怀柔,怀柔,东亚华欣湾,42㎡,北,1房间1卫,低楼层（10层）,1800
16,BJ2713569671483244544,整租·红螺馨园 2室1厅 南,怀柔,怀柔,红螺馨园,82㎡,南,2室1厅1卫,低楼层（12层）,2200
17,BJ2712974243364618240,整租·融城园南区 3室2厅 南/北,怀柔,怀柔,融城园南区,116㎡,南 北,3室2厅2卫,高楼层（6层）,3500
