,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2715754143439659008,整租·峪园小区 2室1厅 南/北,门头沟,大峪,峪园小区,54㎡,南 北,2室1厅1卫,高楼层（6层）,2500
1,BJ2653584186694713344,合租·云梦嘉苑 3居室 南卧,门头沟,石门营,云梦嘉苑,13㎡,南,3居室,高楼层（28层）,1360
2,BJ2724583328337633280,整租·九龙东苑3号地 2室1厅 东南,门头沟,城子,九龙东苑3号地,62㎡,东南,2室1厅1卫,高楼层（24层）,2800
3,BJ2654332480710524928,合租·迎晖南苑 3居室 西北卧,门头沟,滨河西区,迎晖南苑,15㎡,西北,3居室,高楼层（28层）,1560
4,BJ2725170138436337664,整租·绿岛家园 2室1厅 东,门头沟,城子,绿岛家园,89㎡,东,2室1厅1卫,低楼层（12层）,4300
5,BJ2654350001030823936,合租·迎晖南苑 3居室 西卧,门头沟,滨河西区,迎晖南苑,10㎡,西,3居室,高楼层（27层）,1250
6,BJ2715328610663153664,整租·九龙东苑3号地 2室1厅 南,门头沟,城子,九龙东苑3号地,62㎡,南,2室1厅1卫,低楼层（24层）,2800
7,BJ2715733951548227584,整租·剧场东街 1室1厅 东,门头沟,城子,剧场东街,36㎡,东,1室1厅1卫,地下室（5层）,1500
8,BJ2716480050894471168,整租·九龙东苑5号地 3室1厅 西南,门头沟,城子,九龙东苑5号地,82㎡,西南,3室1厅1卫,低楼层（24层）,3000
9,BJ2725280497302781952,整租·保利首开四季怡园 3室1厅 南,门头沟,冯村,保利首开四季怡园,89㎡,南,3室1厅1卫,中楼层（20层）,4200
10,BJ2725218589426073600,整租·熙旺中心 3房间 南,门头沟,滨河西区,熙旺中心,92㎡,南,3房间1卫,高楼层（25层）,6600
11,BJ2663090836421476352,合租·紫金新园二区 3居室 西南卧,门头沟,石门营,紫金新园二区,15㎡,西南,3居室,中楼层（28层）,1460
12,BJ2725436983957790720,整租·大峪南路 1室1厅 南/北,门头沟,大峪,大峪南路,40㎡,南 北,1室1厅1卫,中楼层（5层）,2200
13,BJ2667358473339281408,整租·西长安壹号30号院 1室1厅 复式 西,门头沟,门头沟其它,西长安壹号30号院,60㎡,西,1室1厅1卫,中楼层（11层）,3200
14,BJ2725890395316953088,整租·门头沟京汉铂寓 2室1厅 东/西,门头沟,大峪,门头沟京汉铂寓,68㎡,东 西,2室1厅1卫,高楼层（27层）,3200
15,BJ2719465969603837952,整租·中骏西山天璟 4室2厅 南/西/北,门头沟,城子,中骏西山天璟,155㎡,南 西 北,4室2厅3卫,中楼层（26层）,16000
16,BJ2725283720104771584,整租·中铁西城 2室1厅 南,门头沟,门头沟其它,中铁西城,90㎡,南,2室1厅1卫,低楼层（18层）,4800
17,BJ2725883257702064128,整租·新桥家园 1室1厅 北,门头沟,大峪,新桥家园,83㎡,北,1室1厅1卫,低楼层（24层）,3600
18,BJ2725911617572716544,整租·西长安壹号 2房间 东,门头沟,门头沟其它,西长安壹号,38㎡,东,2房间1卫,中楼层（17层）,3200
19,BJ2724579087267414016,整租·北京城建上悦居东区 3室2厅 南/北,门头沟,冯村,北京城建上悦居东区,90㎡,南 北,3室2厅1卫,高楼层（21层）,4100
20,BJ2725891114832756736,整租·门头沟京汉铂寓 2室1厅 东/西,门头沟,大峪,门头沟京汉铂寓,68㎡,东 西,2室1厅1卫,高楼层（27层）,3200
21,BJ2656335603133849600,整租·远洋新天地 1室1厅 LOFT 西,门头沟,门头沟其它,远洋新天地,43㎡,西,1室1厅1卫,中楼层（18层）,3300
22,BJ2726624693963997184,整租·中昂时代广场 4房间 西,门头沟,大峪,中昂时代广场,75㎡,西,4房间2卫,高楼层（19层）,7000
23,BJ2664545622392315904,整租·远洋新天地 3房间 LOFT 南,门头沟,门头沟其它,远洋新天地,57㎡,南,3房间2卫,高楼层（18层）,4200
24,BJ2716090278183444480,整租·九龙东苑7号地 1室0厅 西,门头沟,城子,九龙东苑7号地,41㎡,西,1室0厅1卫,高楼层（24层）,2000
25,BJ2698544312932900864,合租·云梦嘉苑 4居室 东卧,门头沟,石门营,云梦嘉苑,13㎡,东,4居室,中楼层（28层）,1390
26,BJ2718789266670100480,整租·九龙东苑3号地 3室1厅 南/北,门头沟,城子,九龙东苑3号地,83㎡,南 北,3室1厅1卫,中楼层（24层）,2900
27,BJ2694852846784364544,整租·远洋新天地 2室1厅 LOFT 东北,门头沟,门头沟其它,远洋新天地,62㎡,东北,2室1厅2卫,高楼层（18层）,4000
28,BJ2711706940760924160,整租·鸿坤七星长安 2房间 北,门头沟,滨河西区,鸿坤七星长安,49㎡,北,2房间1卫,高楼层（20层）,3200
