,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2663038901719416832,整租·世纪家园 4室2厅 南/北,密云,密云其它,世纪家园,138㎡,南 北,4室2厅2卫,低楼层（19层）,3800
1,BJ2726121018157973504,整租·东鱼市口胡同 2室1厅 北,密云,密云其它,东鱼市口胡同,84㎡,北,2室1厅1卫,高楼层（12层）,2400
2,BJ2704293315930488832,整租·宾阳里小区 2室2厅 南/北,密云,密云其它,宾阳里小区,90㎡,南 北,2室2厅1卫,高楼层（6层）,2000
3,BJ2698325032202928128,整租·上营北区 2室2厅 南/北,密云,密云其它,上营北区,95㎡,南 北,2室2厅1卫,高楼层（6层）,2200
4,BJ2697118156794626048,整租·万科云溪 3室3厅 复式 东/南/西/北,密云,密云其它,万科云溪,269㎡,东 南 西 北,3室3厅3卫,低楼层（2层）,20000
5,BJ2696456198441672704,整租·龙湖长城源著 1室1厅 东,密云,密云其它,龙湖长城源著,36㎡,东,1室1厅1卫,高楼层（2层）,1200
6,BJ2697779426703179776,整租·万科云溪 3室3厅 南/北,密云,密云其它,万科云溪,295㎡,南 北,3室3厅3卫,低楼层（2层）,8000
7,BJ2678176165734391808,整租·龙湖长城源著 2室1厅 复式 南,密云,密云其它,龙湖长城源著,80㎡,南,2室1厅2卫,高楼层（2层）,2900
8,BJ2693443947849850880,整租·季庄小区 4室4厅 东/西,密云,密云其它,季庄小区,1242㎡,东 西,4室4厅4卫,低楼层（7层）,83400
9,BJ2685487868767911936,整租·阳光城君山墅 5室2厅 南/北,密云,密云其它,阳光城君山墅,311㎡,南 北,5室2厅2卫,低楼层（2层）,15000
10,BJ2652261380329586688,整租·龙湖长城源著 2室1厅 复式 南/北,密云,密云其它,龙湖长城源著,86㎡,南 北,2室1厅2卫,中楼层（6层）,4000
11,BJ2671754723094708224,整租·学府花园 3室2厅 东/西,密云,密云其它,学府花园,105㎡,东 西,3室2厅2卫,高楼层（6层）,2700
12,BJ2672293723076820992,整租·龙湖长城源著 1室1厅 东,密云,密云其它,龙湖长城源著,52㎡,东,1室1厅1卫,地下室（6层）,2000
13,BJ2732522639204548608,整租·果园西路38号院 3室1厅 南/北,密云,密云其它,果园西路38号院,93㎡,南 北,3室1厅1卫,中楼层（6层）,2200
14,BJ2732405317735825408,整租·洪福苑 6室3厅 南/北,密云,密云其它,洪福苑,198㎡,南 北,6室3厅3卫,低楼层（3层）,5500
15,BJ2736724030991106048,整租·世纪家园 3室2厅 东北,密云,密云其它,世纪家园,135㎡,东北,3室2厅2卫,高楼层（19层）,3500
16,BJ2702266727432978432,整租·宾阳西里南区 3室2厅 南/北,密云,密云其它,宾阳西里南区,142㎡,南 北,3室2厅2卫,中楼层（6层）,4000
17,BJ2707364521668263936,整租·保利花园C区 2室1厅 南/北,密云,密云其它,保利花园C区,94㎡,南 北,2室1厅1卫,低楼层（6层）,2800
18,BJ2726797478157352960,整租·车站路小区 3室1厅 南/北,密云,密云其它,车站路小区,85㎡,南 北,3室1厅1卫,低楼层（6层）,2300
19,BJ2726791562981294080,整租·车站路小区 3室2厅 南/北,密云,密云其它,车站路小区,137㎡,南 北,3室2厅2卫,中楼层（5层）,3000
20,BJ2726870926863384576,整租·首创禧悦嘉苑 2室1厅 南/北,密云,密云其它,首创禧悦嘉苑,89㎡,南 北,2室1厅1卫,中楼层（10层）,3000
21,BJ2728268475927117824,整租·东鱼市口胡同 2室2厅 南/北,密云,密云其它,东鱼市口胡同,98㎡,南 北,2室2厅1卫,高楼层（12层）,2600
22,BJ2728957100482109440,整租·檀营小区 2室1厅 南/北,密云,密云其它,檀营小区,81㎡,南 北,2室1厅1卫,高楼层（6层）,1800
23,BJ2727551084360384512,整租·宾阳西里北区 3室2厅 南/北,密云,密云其它,宾阳西里北区,88㎡,南 北,3室2厅1卫,高楼层（6层）,2400
24,BJ2728225930022756352,整租·首创禧悦府 2室1厅 南/北,密云,密云其它,首创禧悦府,74㎡,南 北,2室1厅1卫,低楼层（10层）,3000
25,BJ2710805844726906880,整租·花园小区 2室1厅 南/北,密云,密云其它,花园小区,85㎡,南 北,2室1厅1卫,高楼层（6层）,2000
26,BJ2736782626978807808,整租·宾阳里小区 3室1厅 南/北,密云,密云其它,宾阳里小区,63㎡,南 北,3室1厅1卫,中楼层（6层）,1800
27,BJ2734838787351265280,整租·云秀花园 4室2厅 南/北,密云,密云其它,云秀花园,170㎡,南 北,4室2厅3卫,低楼层（3层）,10000
28,BJ2739214813447602176,整租·沿湖小区 2室2厅 南/北,密云,密云其它,沿湖小区,72㎡,南 北,2室2厅1卫,低楼层（6层）,1700
29,BJ2698556622150057984,整租·檀营小区 5室2厅 跃层 南/北,密云,密云其它,檀营小区,183㎡,南 北,5室2厅2卫,高楼层（6层）,4000
30,BJ2672293723076820992,整租·龙湖长城源著 1室1厅 东,密云,密云其它,龙湖长城源著,52㎡,东,1室1厅1卫,地下室（6层）,2000
31,BJ2704293315930488832,整租·宾阳里小区 2室2厅 南/北,密云,密云其它,宾阳里小区,90㎡,南 北,2室2厅1卫,高楼层（6层）,2000
32,BJ2710805844726906880,整租·花园小区 2室1厅 南/北,密云,密云其它,花园小区,85㎡,南 北,2室1厅1卫,高楼层（6层）,2000
33,BJ2678176165734391808,整租·龙湖长城源著 2室1厅 复式 南,密云,密云其它,龙湖长城源著,80㎡,南,2室1厅2卫,高楼层（2层）,2900
34,BJ2693443947849850880,整租·季庄小区 4室4厅 东/西,密云,密云其它,季庄小区,1242㎡,东 西,4室4厅4卫,低楼层（7层）,83400
35,BJ2685487868767911936,整租·阳光城君山墅 5室2厅 南/北,密云,密云其它,阳光城君山墅,311㎡,南 北,5室2厅2卫,低楼层（2层）,15000
36,BJ2652261380329586688,整租·龙湖长城源著 2室1厅 复式 南/北,密云,密云其它,龙湖长城源著,86㎡,南 北,2室1厅2卫,中楼层（6层）,4000
37,BJ2698325032202928128,整租·上营北区 2室2厅 南/北,密云,密云其它,上营北区,95㎡,南 北,2室2厅1卫,高楼层（6层）,2200
38,BJ2697118156794626048,整租·万科云溪 3室3厅 复式 东/南/西/北,密云,密云其它,万科云溪,269㎡,东 南 西 北,3室3厅3卫,低楼层（2层）,20000
39,BJ2696456198441672704,整租·龙湖长城源著 1室1厅 东,密云,密云其它,龙湖长城源著,36㎡,东,1室1厅1卫,高楼层（2层）,1200
40,BJ2697779426703179776,整租·万科云溪 3室3厅 南/北,密云,密云其它,万科云溪,295㎡,南 北,3室3厅3卫,低楼层（2层）,8000
41,BJ2732522639204548608,整租·果园西路38号院 3室1厅 南/北,密云,密云其它,果园西路38号院,93㎡,南 北,3室1厅1卫,中楼层（6层）,2200
42,BJ2738476123607539712,整租·富帛家属院 2室1厅 南/北,密云,密云其它,富帛家属院,55㎡,南 北,2室1厅1卫,中楼层（5层）,1500
43,BJ2726769529160990720,整租·首创禧悦府 2室1厅 南,密云,密云其它,首创禧悦府,75㎡,南,2室1厅1卫,高楼层（13层）,3350
44,BJ2726165374281457664,整租·行宫小区 0室2厅 南/北,密云,密云其它,行宫小区,169㎡,南 北,未知室2厅1卫,低楼层（5层）,9200
45,BJ2714329176873377792,整租·国际花都 1室0厅 南,密云,密云其它,国际花都,45㎡,南,1室0厅1卫,高楼层（17层）,2100
46,BJ2734137695940395008,整租·沿湖小区 3室1厅 南/北,密云,密云其它,沿湖小区,112㎡,南 北,3室1厅2卫,高楼层（6层）,2200
47,BJ2742047035863089152,整租·檀府家园 3室2厅 南/北,密云,密云其它,檀府家园,127㎡,南 北,3室2厅2卫,高楼层（7层）,2800
48,BJ2712382154138198016,整租·洪福苑 5室3厅 南/北,密云,密云其它,洪福苑,252㎡,南 北,5室3厅3卫,低楼层（3层）,8000
49,BJ2692077924709826560,整租·行宫南区 2室1厅 南/北,密云,密云其它,行宫南区,95㎡,南 北,2室1厅1卫,中楼层（6层）,2500
50,BJ2736197437172752384,整租·恋日水岸 3室2厅 南/北,密云,密云其它,恋日水岸,109㎡,南 北,3室2厅2卫,高楼层（6层）,2500
51,BJ2730436798999437312,整租·西门外大街16号院 2室1厅 南/北,密云,密云其它,西门外大街16号院,90㎡,南 北,2室1厅1卫,高楼层（7层）,2300
52,BJ2729700452265902080,整租·首创澜茵山 3室2厅 南/北,密云,密云其它,首创澜茵山,101㎡,南 北,3室2厅1卫,低楼层（6层）,2900
