,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2732414894564442112,整租·六合园 2室1厅 东,石景山,鲁谷,六合园,68㎡,东,2室1厅1卫,中楼层（18层）,4700
1,BJ2718008661816918016,合租·诗景长安 4居室 西北卧,石景山,鲁谷,诗景长安,16㎡,西北,4居室,中楼层（25层）,1980
2,BJ2732553253085511680,整租·八角北路 2室1厅 南/北,石景山,八角,八角北路,54㎡,南 北,2室1厅1卫,中楼层（6层）,3800
3,BJ2724559505890484224,整租·七星园 1室1厅 东,石景山,鲁谷,七星园,47㎡,东,1室1厅1卫,高楼层（6层）,3700
4,BJ2731708099344998400,整租·永乐西区 2室1厅 南/北,石景山,鲁谷,永乐西区,62㎡,南 北,2室1厅1卫,高楼层（6层）,4500
5,BJ2654311486784012288,合租·西山奥园 3居室 北卧,石景山,苹果园,西山奥园,10㎡,北,3居室,中楼层（16层）,2230
6,BJ2732569321271738368,整租·金隅滨和园6号院 1室1厅 南,石景山,石景山其它,金隅滨和园6号院,59㎡,南,1室1厅1卫,低楼层（31层）,3600
7,BJ2731708281856212992,整租·永乐东区 2室1厅 南,石景山,鲁谷,永乐东区,50㎡,南,2室1厅1卫,中楼层（5层）,4500
8,BJ2731301792569622528,整租·高能物理研究所 2室1厅 南,石景山,玉泉路,高能物理研究所,54㎡,南,2室1厅1卫,低楼层（6层）,5300
9,BJ2731243451764187136,整租·融景城 3室1厅 南,石景山,八角,融景城,118㎡,南,3室1厅2卫,中楼层（25层）,8000
10,BJ2731692684220563456,整租·八角北路 2室1厅 南/北,石景山,八角,八角北路,52㎡,南 北,2室1厅1卫,高楼层（6层）,4000
11,BJ2681777716298260480,合租·叠翠庭苑 3居室 南卧,石景山,苹果园,叠翠庭苑,13㎡,南,3居室,高楼层（21层）,2860
12,BJ2732517867009343488,整租·田村山南路20号院 2室1厅 南/北,石景山,玉泉路,田村山南路20号院,65㎡,南 北,2室1厅1卫,低楼层（6层）,4900
13,BJ2681777713974345728,合租·叠翠庭苑 3居室 北卧,石景山,苹果园,叠翠庭苑,8㎡,北,3居室,高楼层（21层）,2230
14,BJ2732391220226826240,整租·北重西厂 1室1厅 东,石景山,鲁谷,北重西厂,41㎡,东,1室1厅1卫,中楼层（6层）,3000
15,BJ2732435022962229248,整租·古城副食楼 2室1厅 南/北,石景山,古城,古城副食楼,57㎡,南 北,2室1厅1卫,高楼层（6层）,4300
16,BJ2731745345125498880,整租·金隅滨和园6号院 1室1厅 南,石景山,石景山其它,金隅滨和园6号院,59㎡,南,1室1厅1卫,低楼层（25层）,3500
17,BJ2731818155256324096,整租·金顶街四区 1室1厅 南,石景山,苹果园,金顶街四区,64㎡,南,1室1厅1卫,高楼层（6层）,4000
