,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2727538001386684416,整租·香悦四季 3室1厅 南/北,顺义,马坡,香悦四季,119㎡,南 北,3室1厅1卫,中楼层（17层）,5300
1,BJ2726632925998358528,合租·翠竹新村 4居室 南卧,顺义,中央别墅区,翠竹新村,21㎡,南,4居室,中楼层（11层）,2100
2,BJ2728107477014159360,整租·金地未未来 3室1厅 南/北,顺义,顺义其它,金地未未来,54㎡,南 北,3室1厅2卫,高楼层（10层）,4600
3,BJ2707756508636258304,合租·京奥港枫泉花园 3居室 南卧,顺义,中央别墅区,京奥港枫泉花园,25㎡,南,3居室,高楼层（15层）,2000
4,BJ2728307550054793216,整租·中铁花溪渡 3室2厅 南/北,顺义,马坡,中铁花溪渡,118㎡,南 北,3室2厅1卫,高楼层（18层）,4700
5,BJ2728914139207974912,合租·翠竹新村 4居室 北卧,顺义,中央别墅区,翠竹新村,17㎡,北,4居室,高楼层（11层）,1800
6,BJ2728794285125140480,整租·双兴南区 3室1厅 南/北,顺义,顺义城,双兴南区,107㎡,南 北,3室1厅1卫,高楼层（6层）,4000
7,BJ2728904601511403520,整租·石园东区 3室1厅 东/西,顺义,顺义城,石园东区,86㎡,东 西,3室1厅1卫,低楼层（6层）,3800
8,BJ2729092307771981824,整租·裕龙一区 2室1厅 南/北,顺义,顺义城,裕龙一区,105㎡,南 北,2室1厅1卫,中楼层（6层）,4000
9,BJ2728116587126333440,整租·东亚首航国际 2房间 东,顺义,顺义其它,东亚首航国际,60㎡,东,2房间1卫,高楼层（9层）,4000
10,BJ2728035930551361536,整租·东兴一区 2室1厅 南/北,顺义,顺义城,东兴一区,94㎡,南 北,2室1厅1卫,中楼层（6层）,4100
11,BJ2728921472713367552,合租·翠竹新村 4居室 南卧,顺义,中央别墅区,翠竹新村,20㎡,南,4居室,高楼层（10层）,1900
12,BJ2727637592652136448,整租·东兴一区 2室1厅 南/北,顺义,顺义城,东兴一区,84㎡,南 北,2室1厅1卫,高楼层（6层）,4000
13,BJ2599080758576955392,整租·国门智慧城 3室2厅 LOFT 南,顺义,后沙峪,国门智慧城,130㎡,南,3室2厅2卫,中楼层（9层）,5800
14,BJ2727685728145244160,整租·卡法国际 3室1厅 南,顺义,顺义其它,卡法国际,69㎡,南,3室1厅2卫,中楼层（6层）,3400
15,BJ2727627670791143424,整租·北京方糖 2房间 西,顺义,后沙峪,北京方糖,53㎡,西,2房间2卫,高楼层（8层）,4600
