,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2649847506837438464,整租·博客园 2室1厅 西南,通州,乔庄,博客园,98㎡,西南,2室1厅1卫,高楼层（18层）,3600
1,BJ2650496354996199424,整租·世界侨商中心 1室0厅 北,通州,北关,世界侨商中心,43㎡,北,1室0厅1卫,高楼层（27层）,3500
2,BJ2651446393046581248,整租·北苑南路26号院 3室1厅 南/北,通州,万达,北苑南路26号院,65㎡,南 北,3室1厅1卫,中楼层（6层）,3500
3,BJ2654217689320390656,合租·新建村 3居室 南卧,通州,北关,新建村,18㎡,南,3居室,低楼层（21层）,2000
4,BJ2658554154632347648,整租·新城乐居 2室1厅 南/北,通州,临河里,新城乐居,78㎡,南 北,2室1厅1卫,中楼层（21层）,3600
5,BJ2564579646553194496,整租·世界侨商中心 1室1厅 北,通州,北关,世界侨商中心,42㎡,北,1室1厅1卫,中楼层（27层）,3500
6,BJ2653534244538171392,整租·翠福园 2室1厅 南/北,通州,北关,翠福园,90㎡,南 北,2室1厅1卫,低楼层（6层）,3800
7,BJ2654325184316063744,整租·三元村 2室1厅 南/北,通州,武夷花园,三元村,65㎡,南 北,2室1厅1卫,高楼层（6层）,2600
8,BJ2657015143875223552,整租·运河园 2室1厅 南/北,通州,武夷花园,运河园,85㎡,南 北,2室1厅1卫,高楼层（6层）,3500
9,BJ2648420209697751040,整租·果园233号院 2室1厅 南/北,通州,果园,果园233号院,70㎡,南 北,2室1厅1卫,高楼层（6层）,2800
10,BJ2646363612994093056,整租·幸福艺居 1室1厅 南/北,通州,玉桥,幸福艺居,47㎡,南 北,1室1厅1卫,高楼层（7层）,2800
11,BJ2567190836522008576,整租·朝北8080 1室0厅 东北,通州,北关,朝北8080,53㎡,东北,1室0厅1卫,中楼层（7层）,3999
12,BJ2659533055106228224,整租·潞河中学家属院南区 2室1厅 南/北,通州,万达,潞河中学家属院南区,78㎡,南 北,2室1厅1卫,高楼层（6层）,3525
13,BJ2640544994792325120,合租·新建村 3居室 南卧,通州,北关,新建村,20㎡,南,3居室,中楼层（23层）,2300
14,BJ2649802338629591040,整租·潞河中学家属院南区 2室1厅 南/北,通州,万达,潞河中学家属院南区,79㎡,南 北,2室1厅1卫,中楼层（6层）,4000
15,BJ2650571283217530880,整租·玉带河西街 2室1厅 南,通州,万达,玉带河西街,55㎡,南,2室1厅1卫,高楼层（5层）,3000
16,BJ2650503651407708160,整租·玉带河西街 2室1厅 南/北,通州,万达,玉带河西街,78㎡,南 北,2室1厅1卫,中楼层（7层）,3800
17,BJ2650105093013381120,整租·车站路 2室1厅 南/北,通州,万达,车站路,91㎡,南 北,2室1厅1卫,中楼层（6层）,3500
18,BJ2651417233674747904,整租·新通国际花园 1室1厅 东南,通州,梨园,新通国际花园,71㎡,东南,1室1厅1卫,低楼层（28层）,4000
19,BJ2652106025045327872,整租·财贸宿舍 2室1厅 南/北,通州,北关,财贸宿舍,61㎡,南 北,2室1厅1卫,中楼层（6层）,3200
20,BJ2658478638278131712,整租·潞河名苑 2室1厅 东/西,通州,万达,潞河名苑,61㎡,东 西,2室1厅1卫,中楼层（15层）,3200
21,BJ2652697057994735616,整租·朝北8080 1室0厅 北,通州,北关,朝北8080,33㎡,北,1室0厅1卫,低楼层（7层）,3500
22,BJ2659223052772458496,整租·金隅自由筑 2房间 西北,通州,临河里,金隅自由筑,53㎡,西北,2房间1卫,中楼层（7层）,2500
23,BJ2588200458510139392,整租·朝北8080 1室0厅 南,通州,北关,朝北8080,38㎡,南,1室0厅1卫,高楼层（7层）,3000
24,BJ2658649972425097216,整租·南小园 2室1厅 南,通州,万达,南小园,52㎡,南,2室1厅1卫,中楼层（6层）,3000
25,BJ2581681972569456640,整租·世界侨商中心 1室1厅 北,通州,北关,世界侨商中心,42㎡,北,1室1厅1卫,中楼层（27层）,3500
26,BJ2661457552852140032,整租·金隅自由筑 2房间 南,通州,临河里,金隅自由筑,68㎡,南,2房间1卫,低楼层（9层）,3000
27,BJ2590340695223451648,整租·世界侨商中心 1室1厅 北,通州,北关,世界侨商中心,42㎡,北,1室1厅1卫,中楼层（27层）,3500
28,BJ2661565219469262848,整租·旗舰凯旋二三期 2室1厅 南/北,通州,九棵树(家乐福),旗舰凯旋二三期,80㎡,南 北,2室1厅1卫,高楼层（6层）,3500
