,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2724665714886574080,整租·车站西街15号院 1室1厅 南,西城,广安门,车站西街15号院,39㎡,南,1室1厅1卫,中楼层（6层）,3800
1,BJ2686080017091534848,整租·丰侨公寓 1室1厅 西,西城,金融街,丰侨公寓,60㎡,西,1室1厅1卫,低楼层（26层）,12500
2,BJ2725234749709746176,整租·双槐里 2室1厅 南/北,西城,牛街,双槐里,58㎡,南 北,2室1厅1卫,中楼层（6层）,5600
3,BJ2686884295217790976,整租·丰侨公寓 1室1厅 西,西城,金融街,丰侨公寓,61㎡,西,1室1厅1卫,中楼层（22层）,12500
4,BJ2726204099996688384,整租·黑窑厂西里 1室1厅 南,西城,陶然亭,黑窑厂西里,35㎡,南,1室1厅1卫,中楼层（5层）,5600
5,BJ2735424862482079744,整租·丰侨公寓 1室1厅 东,西城,金融街,丰侨公寓,70㎡,东,1室1厅1卫,中楼层（22层）,14500
6,BJ2724518030456389632,整租·育新街 1室1厅 南,西城,右安门内,育新街,37㎡,南,1室1厅1卫,中楼层（6层）,4800
7,BJ2726163026268405760,整租·裕中西里 2室1厅 东/南,西城,马甸,裕中西里,65㎡,东 南,2室1厅1卫,低楼层（24层）,7500
8,BJ2726184721590788096,整租·牛街西里 1室1厅 西南,西城,牛街,牛街西里,55㎡,西南,1室1厅1卫,高楼层（20层）,6100
9,BJ2726600698753196032,整租·长安兴融中心 1室1厅 南,西城,金融街,长安兴融中心,100㎡,南,1室1厅1卫,高楼层（14层）,20000
10,BJ2726743420785147904,整租·清芷园 2室1厅 西北,西城,右安门内,清芷园,83㎡,西北,2室1厅1卫,高楼层（18层）,8800
11,BJ2743559683808690176,整租·丰侨公寓 1室0厅 西,西城,金融街,丰侨公寓,89㎡,西,1室0厅1卫,高楼层（26层）,16500
12,BJ2726670090006708224,整租·车站西街17号院 1室1厅 南,西城,广安门,车站西街17号院,47㎡,南,1室1厅1卫,中楼层（6层）,4300
13,BJ2705775275706155008,合租·广华轩 4居室 北卧,西城,广安门,广华轩,30㎡,北,4居室,高楼层（24层）,3580
14,BJ2726699137491017728,整租·西便门外大街 2室1厅 南/北,西城,木樨地,西便门外大街,59㎡,南 北,2室1厅1卫,低楼层（12层）,11000
15,BJ2726744045987831808,整租·远见名苑 1室1厅 北,西城,广安门,远见名苑,55㎡,北,1室1厅1卫,低楼层（26层）,5500
16,BJ2727346105359532032,整租·丰汇园小区 2室1厅 西,西城,金融街,丰汇园小区,60㎡,西,2室1厅2卫,高楼层（12层）,12000
17,BJ2725354336128876544,整租·佳慧雅园 2室1厅 西南,西城,西单,佳慧雅园,84㎡,西南,2室1厅1卫,中楼层（16层）,15500
18,BJ2725240230130499584,整租·右安门内大街 2室0厅 东/西,西城,牛街,右安门内大街,58㎡,东 西,2室0厅1卫,低楼层（3层）,5500
