,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2587499281736794112,整租·贵园东里 2室2厅 南/北,亦庄开发区,亦庄,贵园东里,86㎡,南 北,2室2厅1卫,高楼层（6层）,4400
1,BJ2683366579898687488,合租·贵园北里甲区 4居室 北卧,亦庄开发区,亦庄,贵园北里甲区,8㎡,北,4居室,中楼层（6层）,1990
2,BJ2594109069111869440,整租·枫丹壹号二期 4室2厅 南/北,亦庄开发区,亦庄开发区其它,枫丹壹号二期,112㎡,南 北,4室2厅2卫,低楼层（27层）,9000
3,BJ2686855925331410944,合租·米兰天空 4居室 东卧,亦庄开发区,亦庄,米兰天空,10㎡,东,4居室,高楼层（5层）,2290
4,BJ2592102654168023040,整租·一世情园 3室2厅 南/北,亦庄开发区,马驹桥,一世情园,119㎡,南 北,3室2厅2卫,高楼层（5层）,4600
5,BJ2686855925700239360,合租·米兰天空 4居室 南卧,亦庄开发区,亦庄,米兰天空,25㎡,南,4居室,高楼层（5层）,2990
6,BJ2636883687316127744,整租·亦园 8室4厅 南/北,亦庄开发区,亦庄开发区其它,亦园,500㎡,南 北,8室4厅7卫,低楼层（4层）,38000
7,BJ2640357049540034560,整租·枫丹壹号 3室1厅 南,亦庄开发区,亦庄开发区其它,枫丹壹号,147㎡,南,3室1厅2卫,中楼层（18层）,13500
8,BJ2638511230964203520,整租·枫丹壹号 4室2厅 南/北,亦庄开发区,亦庄开发区其它,枫丹壹号,121㎡,南 北,4室2厅2卫,低楼层（18层）,8700
9,BJ2644196302040072192,整租·通泰国际公馆 1室0厅 南,亦庄开发区,亦庄,通泰国际公馆,53㎡,南,1室0厅1卫,高楼层（14层）,3700
10,BJ2655754126192803840,整租·贵园北里甲区 3室1厅 南/北,亦庄开发区,亦庄,贵园北里甲区,101㎡,南 北,3室1厅1卫,中楼层（6层）,6500
11,BJ2686855924953923584,合租·米兰天空 4居室 南卧,亦庄开发区,亦庄,米兰天空,22㎡,南,4居室,高楼层（5层）,3330
12,BJ2509284884955004928,整租·天鹅堡 4室2厅 南/北,亦庄开发区,马驹桥,天鹅堡,186㎡,南 北,4室2厅3卫,中楼层（4层）,10000
13,BJ2686228786034245632,合租·富源里 4居室 南卧,亦庄开发区,亦庄,富源里,11㎡,南,4居室,高楼层（6层）,2390
14,BJ2538321608335441920,整租·悦廷 3房间 复式 南,亦庄开发区,亦庄开发区其它,悦廷,57㎡,南,3房间2卫,中楼层（4层）,5900
15,BJ2541830823594958848,整租·力宝广场 1房间 北,亦庄开发区,亦庄,力宝广场,48㎡,北,1房间1卫,低楼层（24层）,4400
16,BJ2559437546467893248,整租·中冀大厦 4房间 南,亦庄开发区,亦庄,中冀大厦,94㎡,南,4房间2卫,高楼层（22层）,5300
17,BJ2571588877932568576,整租·中央公馆 4室2厅 南/北,亦庄开发区,亦庄,中央公馆,390㎡,南 北,4室2厅4卫,低楼层（3层）,30000
18,BJ2518854071562010624,整租·枫丹壹号二期 5室3厅 南/北,亦庄开发区,亦庄开发区其它,枫丹壹号二期,218㎡,南 北,5室3厅3卫,中楼层（4层）,16500
19,BJ2454207501021741056,整租·君安国际 3房间 西北,亦庄开发区,亦庄,君安国际,106㎡,西北,3房间2卫,低楼层（18层）,8500
20,BJ2481100764777824256,整租·莱茵河畔 3室2厅 南,亦庄开发区,亦庄,莱茵河畔,157㎡,南,3室2厅2卫,中楼层（9层）,11000
21,BJ2683366520339570688,合租·贵园北里甲区 4居室 南卧,亦庄开发区,亦庄,贵园北里甲区,15㎡,南,4居室,中楼层（6层）,2260
22,BJ2398318604124176384,整租·悦廷 2室1厅 南/北,亦庄开发区,亦庄开发区其它,悦廷,93㎡,南 北,2室1厅1卫,中楼层（10层）,5600
23,BJ2683371343948554240,合租·瀛景园 4居室 南卧,亦庄开发区,亦庄,瀛景园,13㎡,南,4居室,高楼层（5层）,3130
