,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2731252098850095104,整租·澳洲康都 1室1厅 西,朝阳,望京,澳洲康都,54㎡,西,1室1厅1卫,中楼层（28层）,8000
1,BJ2628314194176917504,整租·芍药居 2室1厅 西,朝阳,芍药居,芍药居,66㎡,西,2室1厅1卫,低楼层（18层）,7000
2,BJ2731760690833932288,整租·北苑家园望春园 2室1厅 南/北,朝阳,北苑,北苑家园望春园,81㎡,南 北,2室1厅1卫,低楼层（14层）,7200
3,BJ2730259384142929920,整租·中环南路3号院 3室1厅 西南,朝阳,望京,中环南路3号院,57㎡,西南,3室1厅1卫,低楼层（6层）,8600
4,BJ2731785239876599808,整租·华贸城 2室1厅 西南,朝阳,北苑,华贸城,87㎡,西南,2室1厅1卫,高楼层（28层）,7700
5,BJ2739049530548035584,整租·东风苑小区 2室1厅 南,朝阳,石佛营,东风苑小区,85㎡,南,2室1厅1卫,中楼层（28层）,8000
6,BJ2732429519129952256,整租·苹果社区南区 1室0厅 北,朝阳,双井,苹果社区南区,55㎡,北,1室0厅1卫,低楼层（21层）,7300
7,BJ2732460034159017984,整租·苹果社区北区 1室1厅 北,朝阳,双井,苹果社区北区,61㎡,北,1室1厅1卫,中楼层（20层）,7200
8,BJ2732490186423812096,整租·银领国际 1室1厅 北,朝阳,望京,银领国际,80㎡,北,1室1厅1卫,低楼层（26层）,7800
9,BJ2731713975548395520,整租·金泰先锋北区 2室1厅 南/北,朝阳,百子湾,金泰先锋北区,92㎡,南 北,2室1厅1卫,高楼层（12层）,8900
10,BJ2731716857781829632,整租·北京香颂 1室1厅 西北,朝阳,望京,北京香颂,110㎡,西北,1室1厅1卫,高楼层（18层）,9000
11,BJ2740592317907083264,整租·小悦城中心 1室1厅 LOFT 西,朝阳,朝青,小悦城中心,76㎡,西,1室1厅2卫,高楼层（12层）,7000
12,BJ2732581075984318464,整租·梵谷水郡 3室1厅 东南/北,朝阳,酒仙桥,梵谷水郡,92㎡,东南 北,3室1厅1卫,低楼层（24层）,8000
13,365063,独栋·城家公寓 城家精选公寓（北京劲松店） 投影一居室A 开间,0,0,0,46㎡,1间在租,1室0厅1卫,0,7000
14,BJ2732467124638318592,整租·方丹苑 2室1厅 东南,朝阳,潘家园,方丹苑,86㎡,东南,2室1厅1卫,低楼层（22层）,7200
15,BJ2731800137524584448,整租·科学园南里七区 3室1厅 南/北,朝阳,南沙滩,科学园南里七区,77㎡,南 北,3室1厅1卫,高楼层（6层）,8300
