,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2711100507946500096,整租·蓝桥驿苑 1室1厅 南,大兴,南中轴机场商务区,蓝桥驿苑,58㎡,南,1室1厅1卫,中楼层（12层）,2200
1,BJ2644238934019670016,合租·金惠园三里南区 4居室 东卧,大兴,高米店,金惠园三里南区,8㎡,东,4居室,高楼层（6层）,1730
2,BJ2722329137838047232,整租·林校北里 2室1厅 东/西,大兴,黄村火车站,林校北里,50㎡,东 西,2室1厅1卫,中楼层（6层）,2900
3,BJ2644238932837416960,合租·金惠园三里南区 4居室 东卧,大兴,高米店,金惠园三里南区,14㎡,东,4居室,高楼层（6层）,1960
4,BJ2718934161485742080,整租·首邑上城 2室2厅 南/北,大兴,枣园,首邑上城,96㎡,南 北,2室2厅1卫,高楼层（15层）,4550
5,BJ2644238932702928896,合租·金惠园三里南区 5居室 东卧,大兴,高米店,金惠园三里南区,13㎡,东,5居室,中楼层（6层）,1890
6,BJ2711540196801265664,整租·火神庙商业中心 2房间 南,大兴,黄村中,火神庙商业中心,44㎡,南,2房间1卫,中楼层（14层）,2500
7,BJ2712092403992633344,整租·鸿坤理想城曦望山 1室1厅 南,大兴,西红门,鸿坤理想城曦望山,62㎡,南,1室1厅1卫,高楼层（21层）,5000
8,BJ2712887714621169664,整租·滨河西里 2室1厅 东/西,大兴,枣园,滨河西里,64㎡,东 西,2室1厅1卫,中楼层（6层）,3550
9,BJ2712283914361380864,整租·车站北里 2室1厅 东/北,大兴,黄村火车站,车站北里,50㎡,东 北,2室1厅1卫,高楼层（6层）,2600
10,BJ2712209786639745024,整租·车站北里 2室1厅 南/北,大兴,黄村火车站,车站北里,55㎡,南 北,2室1厅1卫,中楼层（6层）,3500
11,BJ2644238929247092736,合租·金惠园三里南区 4居室 东卧,大兴,高米店,金惠园三里南区,8㎡,东,4居室,高楼层（6层）,1730
12,BJ2712148379948810240,整租·居善园 2室1厅 东/西,大兴,大兴其它,居善园,70㎡,东 西,2室1厅1卫,中楼层（18层）,2050
13,BJ2644199012835794944,合租·金惠园三里南区 4居室 东南卧,大兴,高米店,金惠园三里南区,8㎡,东南,4居室,高楼层（7层）,1730
14,BJ2715794733891846144,整租·德茂小区 2室1厅 南/北,大兴,瀛海,德茂小区,65㎡,南 北,2室1厅1卫,高楼层（6层）,3300
15,BJ2716613468651528192,整租·金融街融汇 2室1厅 南,大兴,天宫院,金融街融汇,75㎡,南,2室1厅1卫,高楼层（20层）,4200
16,BJ2716019576579301376,整租·滨河东里 3室1厅 东/南/北,大兴,枣园,滨河东里,78㎡,东 南 北,3室1厅1卫,中楼层（6层）,4100
17,BJ2716676861966434304,整租·康达园 2室1厅 东/西,大兴,高米店,康达园,93㎡,东 西,2室1厅1卫,低楼层（6层）,4500
18,BJ2717353702926057472,整租·瑞康家园 2室1厅 南,大兴,黄村中,瑞康家园,85㎡,南,2室1厅1卫,中楼层（20层）,4100
19,BJ2721135399988117504,整租·雅善园 2室1厅 南/北,大兴,大兴其它,雅善园,77㎡,南 北,2室1厅1卫,中楼层（18层）,2300
20,BJ2721133149466927104,整租·居善园 2室1厅 南/北,大兴,大兴其它,居善园,77㎡,南 北,2室1厅1卫,中楼层（18层）,2300
21,BJ2644199015008174080,合租·金惠园三里南区 4居室 南卧,大兴,高米店,金惠园三里南区,14㎡,南,4居室,高楼层（7层）,1960
22,BJ2724647604184162304,整租·新源时代 2室1厅 南/北,大兴,天宫院,新源时代,89㎡,南 北,2室1厅1卫,中楼层（18层）,3800
23,BJ2644238932057006080,合租·金惠园三里南区 5居室 北卧,大兴,高米店,金惠园三里南区,12㎡,北,5居室,中楼层（6层）,1790
24,BJ2724587268198105088,整租·车站北里 2室1厅 西北,大兴,黄村火车站,车站北里,51㎡,西北,2室1厅1卫,高楼层（6层）,3500
25,BJ2644238930312445952,合租·金惠园三里南区 4居室 东卧,大兴,高米店,金惠园三里南区,12㎡,东,4居室,高楼层（6层）,1990
26,BJ2724482382429700096,整租·康庄东巷8号院 2室1厅 南/北,大兴,枣园,康庄东巷8号院,86㎡,南 北,2室1厅1卫,低楼层（8层）,3800
27,BJ2657057952535953408,整租·恒大未来城 2室2厅 LOFT 南,大兴,义和庄,恒大未来城,100㎡,南,2室2厅2卫,中楼层（14层）,4500
28,BJ2724515759735971840,整租·团河苑 2室1厅 南/北,大兴,枣园,团河苑,51㎡,南 北,2室1厅1卫,高楼层（5层）,2400
29,BJ2663083299039084544,整租·万科天地 3室1厅 LOFT 西,大兴,义和庄,万科天地,57㎡,西,3室1厅2卫,低楼层（13层）,4300
30,BJ2724665012072488960,整租·天宫院小区 2室1厅 南/北,大兴,天宫院,天宫院小区,89㎡,南 北,2室1厅1卫,高楼层（18层）,3900
31,BJ2707756161230176256,合租·兴海家园日苑 3居室 北卧,大兴,西红门,兴海家园日苑,8㎡,北,3居室,高楼层（6层）,2090
32,BJ2725342249939369984,整租·黄村西里 2室1厅 南/北,大兴,黄村中,黄村西里,50㎡,南 北,2室1厅1卫,中楼层（5层）,3100
33,BJ2707230724754243584,合租·瑞海家园一区 3居室 北卧,大兴,西红门,瑞海家园一区,10㎡,北,3居室,高楼层（6层）,2090
34,BJ2725293653181333504,整租·富力华庭苑东区 3室2厅 南/北,大兴,大兴新机场,富力华庭苑东区,101㎡,南 北,3室2厅2卫,高楼层（9层）,4000
35,BJ2707756235049926656,合租·世嘉博苑 3居室 南卧,大兴,西红门,世嘉博苑,13㎡,南,3居室,低楼层（15层）,2560
