,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2728837251600482304,整租·华阳家园 3室1厅 西南,朝阳,甜水园,华阳家园,132㎡,西南,3室1厅1卫,低楼层（22层）,13000
1,BJ2728821366974316544,整租·大悦城公寓 2室1厅 南,朝阳,朝青,大悦城公寓,134㎡,南,2室1厅2卫,中楼层（32层）,18000
2,BJ2729025415351386112,整租·康城别墅二期 4室2厅 复式 南/北,朝阳,双桥,康城别墅二期,253㎡,南 北,4室2厅3卫,中楼层（5层）,15000
3,BJ2651445595306737664,整租·大悦城公寓 2室1厅 南,朝阳,朝青,大悦城公寓,134㎡,南,2室1厅2卫,中楼层（32层）,19000
4,BJ2729802340290011136,整租·富力城A区 3室2厅 南,朝阳,双井,富力城A区,114㎡,南,3室2厅2卫,中楼层（26层）,15500
5,BJ2738533805311926272,整租·丽都壹号 2室1厅 南,朝阳,酒仙桥,丽都壹号,88㎡,南,2室1厅1卫,中楼层（22层）,14000
6,BJ2727563918141825024,整租·天之骄子 4室2厅 南/北,朝阳,双井,天之骄子,168㎡,南 北,4室2厅2卫,高楼层（15层）,18000
7,BJ2729548946186969088,整租·中国铁建广场 1房间 西北,朝阳,北苑,中国铁建广场,70㎡,西北,1房间1卫,低楼层（29层）,17500
8,BJ2729524180189192192,整租·万科星园 3室1厅 南,朝阳,奥林匹克公园,万科星园,170㎡,南,3室1厅2卫,中楼层（18层）,18000
9,BJ2729553781153857536,整租·旺座中心公寓 2室1厅 东/北,朝阳,东大桥,旺座中心公寓,157㎡,东 北,2室1厅2卫,中楼层（30层）,19000
10,BJ2728107799757463552,整租·安立花园 5室2厅 南/北,朝阳,亚运村,安立花园,225㎡,南 北,5室2厅3卫,高楼层（13层）,25000
11,BJ2738532825933553664,整租·丽都壹号 2室1厅 南,朝阳,酒仙桥,丽都壹号,93㎡,南,2室1厅1卫,中楼层（22层）,12500
12,BJ2728065209871630336,整租·澳林春天四期 7室3厅 东/南/北,朝阳,奥林匹克公园,澳林春天四期,302㎡,东 南 北,7室3厅3卫,中楼层（13层）,31000
13,BJ2738535520245391360,整租·丽都壹号 2室1厅 南,朝阳,酒仙桥,丽都壹号,83㎡,南,2室1厅1卫,中楼层（22层）,14000
14,BJ2729199334364020736,整租·公园五号 1室1厅 南/北,朝阳,甜水园,公园五号,87㎡,南 北,1室1厅1卫,中楼层（18层）,15000
15,BJ2729041610263502848,整租·北京银泰中心 2室1厅 东/南,朝阳,CBD,北京银泰中心,242㎡,东 南,2室1厅2卫,低楼层（56层）,65000
16,BJ2729007260230754304,整租·琨莎中心 1室1厅 东/南,朝阳,亮马桥,琨莎中心,115㎡,东 南,1室1厅0卫,中楼层（24层）,18000
17,BJ2729115364138164224,整租·远洋万和公馆 2室2厅 南/北,朝阳,望京,远洋万和公馆,173㎡,南 北,2室2厅2卫,中楼层（25层）,32000
18,BJ2729014132807843840,整租·青年汇佳园 3室2厅 东南,朝阳,朝青,青年汇佳园,118㎡,东南,3室2厅2卫,低楼层（14层）,14000
19,BJ2728153997172555776,整租·珠江帝景 3室2厅 南/北,朝阳,大望路,珠江帝景,183㎡,南 北,3室2厅2卫,中楼层（17层）,19000
20,BJ2728223132111339520,整租·蓝筹名座 3室2厅 南/北,朝阳,朝阳门外,蓝筹名座,145㎡,南 北,3室2厅1卫,中楼层（17层）,18500
21,363571,独栋·安家鼎园地产 将台地铁站旗舰店 开发商直租2居室A 2室1厅,0,0,0,83-85㎡,2间在租,2室1厅1卫,0,12500-14000
22,BJ2728240291646537728,整租·怡景园 2室1厅 东南,朝阳,朝阳门外,怡景园,119㎡,东南,2室1厅1卫,低楼层（14层）,14000
23,360251,独栋·泰禾寓 北京公馆·泰禾寓 商务一居室 1室1厅,0,0,0,108㎡,2间在租,1室1厅1卫,0,40000
24,BJ2728285115418681344,整租·禧瑞都 1室1厅 西,朝阳,红庙,禧瑞都,110㎡,西,1室1厅1卫,中楼层（28层）,22000
25,363575,独栋·安家鼎园地产 丽都壹号总店 高品质2居室A 2室1厅,0,0,0,83-88㎡,2间在租,2室1厅1卫,0,12500-14000
26,BJ2729730795639152640,整租·天鹅湾北区 3室2厅 南,朝阳,朝青,天鹅湾北区,123㎡,南,3室2厅3卫,高楼层（18层）,20000
27,360249,独栋·泰禾寓 北京公馆·泰禾寓 高级一居室 1室1厅,0,0,0,80㎡,1间在租,1室1厅1卫,0,30000
28,BJ2729558616657887232,整租·珠江帝景 2室1厅 北,朝阳,大望路,珠江帝景,120㎡,北,2室1厅2卫,高楼层（25层）,12500
