,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2726696353789902848,整租·福怡苑 2室1厅 东/西,朝阳,定福庄,福怡苑,75㎡,东 西,2室1厅1卫,低楼层（7层）,4800
1,BJ2646908260162215936,合租·干杨树 3居室 南卧,朝阳,亚运村小营,干杨树,25㎡,南,3居室,中楼层（18层）,3235
2,BJ2725343368619507712,整租·阳光家园社区 2室1厅 南,朝阳,豆各庄,阳光家园社区,57㎡,南,2室1厅1卫,高楼层（6层）,3300
3,BJ2649349797110087680,整租·超级蜂巢 1室0厅 东,朝阳,双桥,超级蜂巢,33㎡,东,1室0厅1卫,高楼层（38层）,3450
4,BJ2726913197209821184,整租·定福庄北里2号院 1室1厅 南,朝阳,定福庄,定福庄北里2号院,42㎡,南,1室1厅1卫,中楼层（5层）,3400
5,BJ2649308404379549696,整租·超级蜂巢 1室0厅 东,朝阳,双桥,超级蜂巢,33㎡,东,1室0厅1卫,低楼层（37层）,3400
6,BJ2726129731983917056,整租·常楹公元自由派 1房间 东,朝阳,常营,常楹公元自由派,37㎡,东,1房间1卫,高楼层（23层）,4200
7,BJ2724752865670201344,整租·机场南路东里 2室1厅 南/北,朝阳,首都机场,机场南路东里,80㎡,南 北,2室1厅1卫,中楼层（6层）,4500
8,BJ2726967103629565952,整租·管庄西里 1室1厅 南,朝阳,管庄,管庄西里,58㎡,南,1室1厅1卫,中楼层（6层）,4200
9,BJ2726638235727446016,整租·林达海渔广场 2房间 东,朝阳,十里河,林达海渔广场,48㎡,东,2房间1卫,高楼层（15层）,4600
10,BJ2726873895046225920,整租·上线6号 1房间 北,朝阳,常营,上线6号,53㎡,北,1房间1卫,中楼层（15层）,4200
11,BJ2654344081617977344,整租·超级蜂巢 1室1厅 西,朝阳,双桥,超级蜂巢,33㎡,西,1室1厅1卫,低楼层（37层）,3450
12,BJ2726825022990581760,整租·定福庄西街 2室1厅 南/北,朝阳,定福庄,定福庄西街,57㎡,南 北,2室1厅1卫,低楼层（6层）,4600
13,BJ2656318016408518656,合租·芍药居北里 5居室 南卧,朝阳,芍药居,芍药居北里,15㎡,南,5居室,高楼层（7层）,2300
14,BJ2727386217678110720,整租·北京像素南区 1房间 东北,朝阳,常营,北京像素南区,50㎡,东北,1房间1卫,低楼层（23层）,4200
15,BJ2727400125033873408,整租·金蝉北里21号院 2室1厅 南,朝阳,垡头,金蝉北里21号院,56㎡,南,2室1厅1卫,高楼层（6层）,4800
16,BJ2728064928417054720,整租·烟厂宿舍 2室1厅 南/北,朝阳,管庄,烟厂宿舍,67㎡,南 北,2室1厅1卫,高楼层（6层）,4600
17,BJ2727625750831169536,整租·北京像素南区 1房间 南,朝阳,常营,北京像素南区,48㎡,南,1房间1卫,低楼层（23层）,4800
18,BJ2728170725583093760,整租·北平里 2室1厅 南/北,朝阳,首都机场,北平里,53㎡,南 北,2室1厅1卫,中楼层（6层）,4000
19,BJ2726659791438225408,整租·和平街十三区 1室1厅 南,朝阳,和平里,和平街十三区,38㎡,南,1室1厅1卫,地下室（6层）,4100
20,BJ2726742033267441664,整租·垡头西里 2室1厅 南,朝阳,垡头,垡头西里,53㎡,南,2室1厅1卫,高楼层（5层）,4100
21,BJ2641082722290253824,合租·慧忠北里 4居室 南卧,朝阳,亚运村,慧忠北里,18㎡,南,4居室,高楼层（25层）,2500
22,BJ2728187542922346496,整租·垡头北里 2室1厅 南/北,朝阳,垡头,垡头北里,58㎡,南 北,2室1厅1卫,高楼层（6层）,4100
23,BJ2641077164484861952,合租·芍药居北里 3居室 西南卧,朝阳,芍药居,芍药居北里,25㎡,西南,3居室,高楼层（7层）,2800
24,BJ2726717309237870592,整租·慈云寺 1室0厅 南,朝阳,红庙,慈云寺,26㎡,南,1室0厅1卫,中楼层（6层）,3500
25,BJ2646908816712531968,合租·干杨树 3居室 南卧,朝阳,亚运村小营,干杨树,12㎡,南,3居室,中楼层（18层）,2300
26,BJ2728794167022198784,整租·炫特嘉园二期 1室0厅 西,朝阳,石佛营,炫特嘉园二期,42㎡,西,1室0厅1卫,高楼层（28层）,4900
27,BJ2656463233103437824,整租·超级蜂巢 1室0厅 东,朝阳,双桥,超级蜂巢,35㎡,东,1室0厅1卫,低楼层（36层）,3400
28,BJ2728980872505065472,整租·双桥东路6号院 2室0厅 南/北,朝阳,双桥,双桥东路6号院,61㎡,南 北,2室0厅1卫,高楼层（6层）,3500
29,BJ2658494681431670784,整租·超级蜂巢 1室0厅 东,朝阳,双桥,超级蜂巢,35㎡,东,1室0厅1卫,低楼层（37层）,3500
30,BJ2555133209583026176,整租·柏阳景园 2室1厅 南/北,朝阳,朝阳其它,柏阳景园,83㎡,南 北,2室1厅1卫,高楼层（5层）,4300
31,BJ2658520057315074048,整租·超级蜂巢 1室1厅 西,朝阳,双桥,超级蜂巢,33㎡,西,1室1厅1卫,中楼层（36层）,3500
32,BJ2573698067182665728,整租·呼家楼南里 1室0厅 南,朝阳,红庙,呼家楼南里,25㎡,南,1室0厅1卫,高楼层（4层）,4300
33,BJ2658007761979179008,整租·超级蜂巢 1室0厅 东,朝阳,双桥,超级蜂巢,35㎡,东,1室0厅1卫,低楼层（36层）,3400
34,BJ2533912373753298944,整租·左家庄西街5号院 2室1厅 东,朝阳,国展,左家庄西街5号院,56㎡,东,2室1厅1卫,中楼层（5层）,4900
35,BJ2658068295265566720,整租·超级蜂巢 1室0厅 西,朝阳,双桥,超级蜂巢,33㎡,西,1室0厅1卫,低楼层（37层）,3450
36,BJ2534094486221627392,整租·康静里 2室1厅 南/北,朝阳,东坝,康静里,58㎡,南 北,2室1厅1卫,高楼层（6层）,3600
37,BJ2537615205425758208,整租·中建玲珑山 1房间 西,朝阳,双桥,中建玲珑山,48㎡,西,1房间1卫,低楼层（9层）,3900
38,BJ2532433623215783936,整租·幸福二村 1室0厅 南,朝阳,工体,幸福二村,33㎡,南,1室0厅1卫,低楼层（5层）,4800
39,BJ2538245189400018944,整租·华威西里 1室1厅 南,朝阳,潘家园,华威西里,42㎡,南,1室1厅1卫,中楼层（6层）,3800
40,BJ2528025090189164544,整租·曙光里 1室1厅 南,朝阳,三元桥,曙光里,41㎡,南,1室1厅1卫,低楼层（18层）,4600
41,BJ2649804282035183616,整租·超级蜂巢 1室0厅 东,朝阳,双桥,超级蜂巢,33㎡,东,1室0厅1卫,中楼层（37层）,3500
42,BJ2525985663338151936,整租·宇达创意中心 2房间 南,朝阳,朝阳其它,宇达创意中心,53㎡,南,2房间1卫,高楼层（7层）,3500
43,BJ2657723833528107008,合租·北苑家园茉藜园 3居室 南卧,朝阳,北苑,北苑家园茉藜园,30㎡,南,3居室,高楼层（26层）,3500
44,BJ2546137920004702208,整租·双龙南里 2室1厅 东/西,朝阳,华威桥,双龙南里,59㎡,东 西,2室1厅1卫,低楼层（6层）,4500
45,BJ2562366697831415808,整租·延静西里 1室1厅 东,朝阳,红庙,延静西里,39㎡,东,1室1厅1卫,高楼层（6层）,4600
46,BJ2568062123217797120,整租·南平里 2室1厅 南/北,朝阳,首都机场,南平里,58㎡,南 北,2室1厅1卫,低楼层（5层）,3700
47,BJ2576133617457561600,整租·管庄新村 2室1厅 南/北,朝阳,双桥,管庄新村,80㎡,南 北,2室1厅1卫,中楼层（18层）,4700
48,BJ2574445280896761856,整租·十里堡东里 2室1厅 南/北,朝阳,十里堡,十里堡东里,54㎡,南 北,2室1厅1卫,高楼层（6层）,4900
49,BJ2570352864140730368,整租·双桥东路6号院 2室1厅 南/北,朝阳,双桥,双桥东路6号院,62㎡,南 北,2室1厅1卫,中楼层（5层）,3800
50,BJ2574636997046452224,整租·远洋一方润园6号院 3室0厅 南/北,朝阳,双桥,远洋一方润园6号院,75㎡,南 北,3室0厅1卫,低楼层（15层）,4200
51,BJ2658517041325015040,整租·超级蜂巢 1室1厅 东,朝阳,双桥,超级蜂巢,35㎡,东,1室1厅1卫,低楼层（36层）,3500
52,BJ2258513732668243968,整租·金隅可乐 1房间 东南,朝阳,双桥,金隅可乐,55㎡,东南,1房间1卫,中楼层（19层）,4000
53,BJ2657899520649592832,合租·北苑家园茉藜园 3居室 南卧,朝阳,北苑,北苑家园茉藜园,15㎡,南,3居室,高楼层（18层）,2400
54,BJ2309374161874853888,整租·林达海渔广场 1房间 南,朝阳,十里河,林达海渔广场,54㎡,南,1房间1卫,中楼层（15层）,4000
55,BJ2657723879857848320,合租·北苑家园茉藜园 3居室 南卧,朝阳,北苑,北苑家园茉藜园,25㎡,南,3居室,高楼层（26层）,2200
56,BJ2383116358528811008,整租·卡夫卡公社 2房间 北,朝阳,定福庄,卡夫卡公社,32㎡,北,2房间1卫,高楼层（13层）,4800
57,BJ2658046827089371136,整租·超级蜂巢 1室0厅 东,朝阳,双桥,超级蜂巢,33㎡,东,1室0厅1卫,高楼层（37层）,3450
58,BJ2483343856033611776,整租·东一时区 2室1厅 南,朝阳,双桥,东一时区,55㎡,南,2室1厅1卫,中楼层（15层）,4100
59,BJ2668599846294003712,合租·北苑家园清友园 4居室 南卧,朝阳,北苑,北苑家园清友园,17㎡,南,4居室,高楼层（25层）,2500
60,BJ2696335348790992896,整租·南平里 2室1厅 南/北,朝阳,首都机场,南平里,58㎡,南 北,2室1厅1卫,高楼层（6层）,3300
61,BJ2606506872861638656,合租·芍药居5号院 4居室 南卧,朝阳,芍药居,芍药居5号院,14㎡,南,4居室,低楼层（5层）,2500
62,BJ2702276429629882368,整租·光辉南里 2室1厅 南/北,朝阳,CBD,光辉南里,57㎡,南 北,2室1厅1卫,地下室（6层）,4800
