,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2727526221180313600,整租·玺萌公馆 3室2厅 南/北,丰台,草桥,玺萌公馆,148㎡,南 北,3室2厅2卫,中楼层（6层）,14500
1,306776,独栋·城家精选公寓 城家精选公寓(北京西站店) 北欧投影复式二居室 2室1厅,0,0,0,35㎡,2间在租,2室1厅1卫,0,6200-7200
2,BJ2728877434005880832,整租·刘家窑南里 2室1厅 南/北,丰台,蒲黄榆,刘家窑南里,65㎡,南 北,2室1厅1卫,低楼层（6层）,5600
3,361314,独栋·恒寓星光店 星光二店 J户型 3室1厅,0,0,0,101㎡,2间在租,3室1厅2卫,0,5185-5500
4,BJ2729067175754072064,整租·福臻家园 2室1厅 南,丰台,宋家庄,福臻家园,87㎡,南,2室1厅1卫,高楼层（11层）,6700
5,BJ2740534228801290240,整租·南庭新苑北区 2室1厅 南,丰台,新宫,南庭新苑北区,68㎡,南,2室1厅1卫,高楼层（16层）,5380
6,BJ2728881815938146304,整租·世纪金色嘉园 2室1厅 西,丰台,北京南站,世纪金色嘉园,93㎡,西,2室1厅1卫,中楼层（28层）,8500
7,BJ2727481056948125696,整租·翠庭园 2室1厅 南/北,丰台,宋家庄,翠庭园,91㎡,南 北,2室1厅1卫,高楼层（6层）,6750
8,BJ2727537099611324416,整租·民岳家园 1室1厅 东,丰台,岳各庄,民岳家园,74㎡,东,1室1厅1卫,高楼层（22层）,5100
9,BJ2727491792629923840,整租·方恒偶寓 3房间 东,丰台,宋家庄,方恒偶寓,78㎡,东,3房间1卫,高楼层（12层）,9000
10,BJ2729523820460785664,整租·富锦嘉园一区 3室2厅 南/北,丰台,科技园区,富锦嘉园一区,125㎡,南 北,3室2厅2卫,低楼层（5层）,8400
11,BJ2696212156051103744,整租·芳城园一区 2室1厅 东南,丰台,方庄,芳城园一区,62㎡,东南,2室1厅1卫,低楼层（26层）,5680
12,BJ2729499865666027520,整租·太平桥东里 2室1厅 西南,丰台,太平桥,太平桥东里,75㎡,西南,2室1厅1卫,低楼层（24层）,6000
13,299004,独栋·城家公寓 北京总部基地CitiGO欢阁公寓酒店 一居室标准大床房 开间,0,0,0,24㎡,7间在租,1室0厅1卫,0,9200
14,BJ2729539324755312640,整租·优筑 2室1厅 东北,丰台,玉泉营,优筑,78㎡,东北,2室1厅1卫,低楼层（16层）,5800
15,BJ2727572951875993600,整租·永翌公馆 1室0厅 东,丰台,六里桥,永翌公馆,70㎡,东,1室0厅0卫,低楼层（25层）,16666
