,house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
0,BJ2727548686132584448,整租·世纪星城 2室1厅 南,通州,通州北苑,世纪星城,103㎡,南,2室1厅1卫,低楼层（10层）,5000
1,BJ2738427416547966976,整租·泰禾一号街区 3室2厅 复式 西南,通州,通州其它,泰禾一号街区,85㎡,西南,3室2厅2卫,中楼层（13层）,6000
2,BJ2727466117701574656,整租·摩卡空间 2室1厅 南/北,通州,万达,摩卡空间,100㎡,南 北,2室1厅1卫,中楼层（12层）,5200
3,BJ2743466860195889152,整租·新光大中心 1室2厅 LOFT 西南,通州,北关,新光大中心,70㎡,西南,1室2厅2卫,低楼层（29层）,6500
4,BJ2729552371473448960,整租·巴克摩界 2室1厅 复式 南,通州,果园,巴克摩界,63㎡,南,2室1厅2卫,高楼层（11层）,5300
5,BJ2648626798027882496,整租·新光大中心 1室1厅 LOFT 西,通州,北关,新光大中心,80㎡,西,1室1厅1卫,中楼层（29层）,6500
6,BJ2728997536416407552,整租·运河湾 3室1厅 南/北,通州,武夷花园,运河湾,138㎡,南 北,3室1厅2卫,低楼层（33层）,8000
7,BJ2728903544672354304,整租·运河湾 2室1厅 南,通州,武夷花园,运河湾,89㎡,南,2室1厅1卫,低楼层（33层）,5300
8,BJ2727545967158239232,整租·天赐良园东三期A区 3室2厅 南/北,通州,北关,天赐良园东三期A区,127㎡,南 北,3室2厅2卫,高楼层（6层）,7500
9,BJ2727531212192628736,整租·融科钧廷 2室1厅 南,通州,马驹桥,融科钧廷,99㎡,南,2室1厅1卫,高楼层（11层）,4600
10,BJ2727504619038318592,整租·绣江南 3室1厅 南,通州,梨园,绣江南,120㎡,南,3室1厅1卫,高楼层（6层）,5000
11,BJ2658764673905860608,整租·新光大中心 1室1厅 LOFT 东北,通州,北关,新光大中心,70㎡,东北,1室1厅2卫,中楼层（29层）,6000
12,BJ2729049630636507136,整租·华业东方玫瑰A区 3室1厅 南,通州,临河里,华业东方玫瑰A区,92㎡,南,3室1厅1卫,低楼层（27层）,6000
13,BJ2649369663104368640,整租·世界侨商中心 1室2厅 LOFT 西,通州,北关,世界侨商中心,70㎡,西,1室2厅1卫,低楼层（19层）,5600
14,BJ2729042181720645632,整租·新潮嘉园三期 3室1厅 南/北,通州,潞苑,新潮嘉园三期,117㎡,南 北,3室1厅2卫,低楼层（6层）,4300
15,BJ2729529731434692608,整租·K2清水湾 3室1厅 东/北,通州,潞苑,K2清水湾,80㎡,东 北,3室1厅1卫,中楼层（27层）,4500
16,BJ2729106026778869760,整租·运河明珠 1室1厅 北,通州,武夷花园,运河明珠,75㎡,北,1室1厅1卫,中楼层（29层）,4400
17,BJ2728122521990725632,整租·香林郡 4室2厅 南/北,通州,武夷花园,香林郡,146㎡,南 北,4室2厅2卫,高楼层（7层）,8000
18,BJ2728175135281381376,整租·金融街武夷融御 2室1厅 南/北,通州,武夷花园,金融街武夷融御,72㎡,南 北,2室1厅1卫,中楼层（23层）,5000
19,BJ2728390665212788736,整租·京贸国际城 2室1厅 南,通州,武夷花园,京贸国际城,92㎡,南,2室1厅1卫,低楼层（32层）,4600
20,BJ2728220014267613184,整租·运河湾 2室1厅 南/北,通州,武夷花园,运河湾,88㎡,南 北,2室1厅1卫,低楼层（18层）,5400
21,BJ2659405810333401088,整租·新光大中心 1室1厅 LOFT 西,通州,北关,新光大中心,80㎡,西,1室1厅1卫,高楼层（29层）,6200
22,BJ2728239416907661312,整租·华业东方玫瑰A区 2室1厅 南/北,通州,临河里,华业东方玫瑰A区,89㎡,南 北,2室1厅1卫,高楼层（27层）,4100
