,size,floor,price,room_nbr,living_nbr,bath_nbr,rent_type,district_num,community_num
0,60,4,2800.0,2,1,1,1,1,1
1,91,3,5000.0,3,1,1,1,1,2
2,103,3,6800.0,2,2,1,1,1,3
3,75,1,3800.0,4,0,1,1,1,4
4,65,3,5400.0,4,0,1,1,1,5
5,93,4,5500.0,2,1,2,1,1,6
6,97,3,7500.0,2,1,1,1,1,5
7,120,3,7200.0,3,2,2,1,1,5
8,140,4,5000.0,2,2,2,1,1,7
9,175,2,9700.0,4,2,2,1,1,8
10,91,3,5500.0,3,1,1,1,1,2
11,117,3,7800.0,3,1,1,1,1,5
12,98,4,6900.0,2,1,1,1,1,5
13,90,3,5000.0,3,1,1,1,1,7
14,102,4,6100.0,2,1,1,1,1,3
15,52,4,7500.0,7,0,3,1,1,5
16,74,2,4300.0,2,1,1,1,1,9
17,58,2,4500.0,3,0,1,1,1,10
18,104,2,5880.0,3,1,1,1,1,9
19,40,3,4300.0,1,0,1,1,1,5
20,63,4,6300.0,1,1,1,1,1,5
21,120,4,4500.0,3,1,2,1,1,11
22,59,3,3200.0,2,1,1,1,1,4
23,95,4,6500.0,3,2,1,1,1,12
24,92,3,6200.0,2,1,1,1,1,3
25,85,2,6300.0,2,1,1,1,1,5
26,140,2,10500.0,2,2,2,1,1,13
27,56,3,3200.0,2,1,1,1,1,4
28,87,2,5000.0,2,1,1,1,1,10
29,125,2,7500.0,3,1,2,1,1,5
30,164,2,9000.0,4,2,3,1,1,2
31,87,3,5500.0,3,1,1,1,1,4
32,73,3,4600.0,2,1,1,1,1,14
33,82,3,3700.0,2,1,1,1,1,2
34,153,4,5800.0,3,2,3,1,1,2
35,96,3,7000.0,3,1,1,1,1,3
36,61,3,3200.0,2,1,1,1,1,4
37,83,3,3500.0,2,1,1,1,1,1
38,66,3,5500.0,2,0,1,1,1,13
39,89,2,4500.0,2,1,1,1,1,2
40,93,3,5500.0,2,1,2,1,1,6
41,75,1,3800.0,4,0,1,1,1,4
42,65,3,5400.0,4,0,1,1,1,5
43,91,3,5000.0,3,1,1,1,1,2
44,85,4,3800.0,2,1,1,1,1,10
45,93,4,5500.0,2,1,2,1,1,6
46,81,3,6500.0,2,1,1,1,1,13
47,83,3,5600.0,3,1,1,1,1,13
48,97,3,7500.0,2,1,1,1,1,5
49,120,3,7200.0,3,2,2,1,1,5
50,51,3,3100.0,2,1,1,1,1,4
51,73,2,4200.0,2,1,1,1,1,6
52,89,3,4100.0,2,1,1,1,1,9
53,82,2,4200.0,2,1,1,1,1,10
54,46,2,3500.0,2,0,0,1,1,7
55,47,2,4000.0,1,0,0,1,1,6
56,82,3,4600.0,2,1,1,1,1,9
57,36,4,2000.0,1,0,1,1,1,4
58,87,2,5000.0,2,1,1,1,1,9
59,34,4,2600.0,1,0,1,1,1,9
60,89,3,6300.0,2,1,1,1,1,5
61,70,2,5200.0,2,1,1,1,1,13
62,26,3,2400.0,1,0,1,1,1,9
